数据下载时间：2021-07-01 13:56:17 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/576047571236/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,有**y,颜色分类: 【冠军胚芽米】有机胚芽米赠品为胚芽米 买2发3 买3发5,好评,现在婴儿辅食产品种类繁多，真的让人眼花缭乱，特别是对于我这种有选择困难症的麻麻更是无从下手。刚开始担心胚芽米是智商税，后面发现长期吃这种米对宝宝营养摄入还是大有裨益，毕竟一颗胚芽米等于108粒大米，还添加了钙铁锌等微量元素，保质期也是90天，真的是每一口都让麻麻放心，最后在小红书上各种对比，然后旁边的麻麻也在推荐秋田满满，就抱着试试的心态买了胚芽米，结果熬出来的粥很浓稠软糯，适合宝宝消化吸收。然后马上又入手买了他家的低筋面粉，很细腻也很干净，用来给宝宝做蒸糕做松饼。虽然价格不算特别便宜，但是为了宝宝的健康我觉得很值得。 ,还送了原味碎碎面，之前一直吃的碧欧齐碎碎面，但是婆婆妈觉得是意面煮的时间很长，而且不太适合宝宝消化。这次让他试了下送的碎碎面，她反应不错说很快煮熟也不起坨，让我下次就买这家的碎碎面哈哈哈。,亲亲，我们胚芽米的营养成分很高的，一粒胚芽米是128粒普通米的营养，7个月以上的宝宝可以搭配西兰花、南瓜煮粥补铁又补锌。,2021-06-22
2,i**饭,颜色分类: 【胚芽谷物米】有机胚芽米赠品为7日米 买2发3 买3发5,好评,【总体】家有一宝七个月。第一次煮了十倍粥，太稀了。后来改成五倍粥，刚刚好。这次尝试了四倍粥，宝宝也很喜欢。 【外观】包装是很用心的，里面的米是正常的密封，纸盒外包装还加了个塑封，方便效果更佳。你也很新鲜，都是这个月生产的。煮之前的米看起来小小的，中间有个芯，也不会粉粉的，看着很新鲜。 【口感】我们家小兄弟喜欢吃稠一点的（也可能是因为我，稠一点喂起来方便）。加上肉泥跟菜泥，软软糯糯的很好吃，本宝妈是很喜欢。家里的小兄弟一次也能吃满满一碗（大概25克米），都吃光。 【效果】第二次买了。宝宝吃了茁壮成长，看图就知道了。持续回购中。 ,好吃好吃，今晚又干饭一大碗,亲亲，我们胚芽米的营养成分很高的，一粒胚芽米是128粒普通米的营养，7个月以上的宝宝可以搭配西兰花、南瓜煮粥补铁又补锌。,2021-06-21
3,p**8,颜色分类: 【冠军胚芽米】有机胚芽米赠品为胚芽米 买2发3 买3发5,好评,商品成分：满满家的胚芽米真香 熬完的粥很粘稠 家里普通的大米绝对熬不出这样的口感 商品分量：一盒500g 我家宝宝饭量小 一盒可以吃一个来月 当然每天除了胚芽米粥 小米粥 小花星星面 粒粒面 卡通面片 七日米我都买的满满家的 倒着吃 包装品质：包装还是以往一样的好 每一个都密封的很严 口感味道：大米很香 熬粥很黏 我都是提前一晚泡上 预约熬粥 特别粘稠 新鲜度：满满家大米日期都是新鲜的 毕竟90天保质期 打开了密封放冰箱里保存就好了 应该是开袋一个月食用 配料也都选择的满满 相信你 🐶 ,-,-,2021-06-23
4,l**叶,颜色分类: 【冠军胚芽米】有机胚芽米赠品为胚芽米 买2发3 买3发5,好评,太喜欢了，小宝贝八个月啦，经历了两个月初尝食物，俨然开启了吃货的小时代，作为新手妈妈，给宝贝选择最适合的辅食无疑是最最最重要的事情，趁着618，多家对比、咨询后，选择秋田满满，很庆幸，很对的选择，宝宝爱吃，无论是油，还是米，还是调味粉，宝宝都特别爱吃… 每天两顿正餐，带着秋田满满满满的爱，为孩子准备辅食，米粉+菜泥，再来点核桃油+黑芝麻猪肝粉，哇哇哇…宝贝爱吃的不得了… 蛋黄羹+油菜泥+米粉，再来点牛油果泥+黑芝麻牡蛎粉，哇哇哇，依然很棒的选择哦… 秋田满满，让宝宝的辅食更加更加更加多样化; 秋田满满，让宝宝的营养更加更加更加全面; 秋田满满，让妈**爱更加更加更加满满 ,哇哇哇，第一次这么认真的评价，宝贝用了三天啦，油+粉+米，都已经用过了，真心实意的反馈一下，希望给宝妈们有些参考… 我们家宝宝属于胃口很好那种，吃嘛嘛香，可，初尝食物，新手妈妈恨不得宝宝一下尝遍世界所有的美味，可，作为知识分子，受过科学教导的妈妈，怎么可能不按套路出牌呢，所以…秋田满满来啦… 粉粉们，满足了宝宝对各种味道的好奇，…，让宝宝们一下可以尝试各种味道 油油们，满足了宝宝对营养的需求，还有是脑力开发的必备品…，我总不断在想，说不定我得宝宝是个天才 米米们，哈哈哈，身为作为大米控妈**宝宝，必须爱吃大米，大米粥，大米饭，大米糊糊，安排安排安排… 秋田满满，妈妈满满的爱呦！！！,亲亲，我们胚芽米的营养成分很高的，一粒胚芽米是128粒普通米的营养，7个月以上的宝宝可以搭配西兰花、南瓜煮粥补铁又补锌。,2021-06-23
5,w**r,颜色分类: 【冠军胚芽米】有机胚芽米赠品为胚芽米 买2发3 买3发5,好评,自从种草秋田满满家的胚芽米后，就一直在他家购买宝宝吃的用的产品，米啊，面啊，油啊，芝麻酱，猪肝粉之类的，宝宝到了馋嘴的时候，每次给她囤很多她爱吃的小食品，有的时候我自己也吃几个，味道真的很棒，那个海苔嘎嘣脆，我家宝宝最爱吃了，高钙小馒头也爱，吃着她晃头晃脑，表示太美味了，还有好多种她都爱吃，辅食配料每次加的时候她都可以吃大半碗的粥面，胃口大好，又有营养又省去自己做的麻烦，还是给秋田满满比个心，满分～ ,-,-,2021-06-24
6,c**e,颜色分类: 【冠军胚芽米】有机胚芽米赠品为胚芽米 买2发3 买3发5,好评,孩子最近在长身体，所以需要更多的营养，特意购买的胚芽米，这家店我看销量当时是618第一客服态度也挺好。然后就买了三个，发了5个，还赠送了两种口味的面条，而且售后服务确实挺贴心。最主要的是产品孩子挺喜欢吃的，和普通的大人吃的大米还是有所区别的，而且贴心的发短信放在冰箱里面冷藏，能够储存更长时间。这下就不担心胚芽米过期的问题。赠送的面条也是很用心的，感觉很高端的样子，孩子吃了之后再给反馈。总体来讲还是比较满意的一次购物。性价比很高。等到后面再有活动，还会继续购买的。 ,孩子已经吃了之后特意过来反馈的，总体来讲孩子都很喜欢胚芽米蒸出来之后色泽口感孩子都挺爱吃，重点推荐一下赠送的面条，特别是里面的星星面，孩子也是第1次吃，特别喜欢，吃完一口手还指着还要吃，而且尝了一下里面确实很软很好消化，有种入口即化的感觉都不太像面条，后面会单独购买的。为客服点赞。服务态度很不错。,亲亲，胚芽米富含营养多样化、膳食纤维、维生素B族、维生素E、矿物质、维生素A、植物化合物、益生元多种营养元素哦，8月龄以上的宝贝可以搭配牛肉、南瓜、山药一起食用健脾补铁哦~,2021-06-26
7,覃**5,颜色分类: 【冠军胚芽米】有机胚芽米赠品为胚芽米 买2发3 买3发5,好评,朋友推荐的这家满满胚芽米 ，大米米粒饱满，分量很足，有机认证，营养远高于普通大米，。煮完亮晶晶的，很诱人，口感超棒的，真的是很好吃的大米，九个月的宝宝每次都吃完满满的一碗。谢谢秋田满满家的胚牙米，感谢。吃完会一直回购的。还会推荐给身边的宝妈 。希望每个宝宝都能吃上营养丰富的胚牙米。还送了一盒碎碎面太感动了。 ,胚芽米富含营养多样化、膳食纤维、维生素B族、维生素E、矿物质、维生素A、植物化合物、益生元多种营养元素哦，包装精美，每个独立包装的小袋子都有满满的爱意，这个是我一直给宝宝吃的一款米，营养丰富。,亲亲，胚芽米富含营养多样化、膳食纤维、维生素B族、维生素E、矿物质、维生素A、植物化合物、益生元多种营养元素哦，8月龄以上的宝贝可以搭配牛肉、南瓜、山药一起食用健脾补铁哦~,2021-06-19
8,物**合,颜色分类: 【冠军胚芽米】有机胚芽米赠品为胚芽米 买2发3 买3发5,好评,这个胚芽米我是从宝宝第一次添加辅食就囤货，一直到现在可以吃米饭都还在吃，不过其他的不说，煮出来的粥确实很香，而且粒粒饱满，哈哈哈是我想象的样子，唯一不足就是保质期太短，我每次把它放冰箱，我妈妈总是满脸疑惑，哈哈哈我们家的小王子的待遇就是比我们的好，羡慕脸 ,比较推荐你们购买，胚芽米我也是观望了很久才买，你们可以尝一尝，给宝宝吃的，一定要选择信得过的,亲亲，胚芽米富含营养多样化、膳食纤维、维生素B族、维生素E、矿物质、维生素A、植物化合物、益生元多种营养元素哦，8月龄以上的宝贝可以搭配牛肉、南瓜、山药一起食用健脾补铁哦~,2021-06-24
9,风**0,颜色分类: 【宝宝小米粥】有机胚芽米赠品为黄小米 买2发3 买3发5,好评,宝宝七八个月时对大人的饭非常感兴趣，每次做米饭，都要吃几口，有时米会比较硬，会噎到、呛到的，这让我想起来去找有没有一种米，专门宝宝吃的，又有营养，于是一次偶然的机会就找到的秋田满满的有机胚芽米，一眼就爱上，便买了两包试试，煮出来的米很香糯，宝宝很爱吃，后面就又回购了很多，有机黄小米、小软饼、还有营养面等，都是很值得推荐的，这样就可以给宝宝不重样的做很多辅食吃了，有的时候会煮胚芽米饭，给宝宝配个辅食鱼，也是很美味的，看到宝宝的吃好，感觉心里也轻松很多！卖家也会送些小礼品，很不错的！ ,-,-,2021-06-21
10,c**o,颜色分类: 【宝宝小米粥】有机胚芽米赠品为黄小米 买2发3 买3发5,好评,哈哈，618买了好多，满满的一大箱！真爱粉没跑了！性价比很高！产品也很好，胚芽米饱满大个！泡一下，煮起来比较快软化！看的到的胚芽！货真价实！很香宝宝特别爱吃！泡芙入口即化，其他零食都不错！除了有机面还没有吃，其他都给宝宝吃了，很适合8个月左右的孩子！以后宝宝口粮就认准你们家了！ ,-,-,2021-06-24
