数据下载时间：2021-07-01 13:59:12 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/627426879833/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
1,z**8,颜色分类: （不锈钢盖）550ml+750ml两只装【立省10元】,好评,我购买了四个玻璃瓶，3个750毫升的一个550毫升的，用于装食用油，豆油，醋，麻油。玻璃瓶防滑，底部有塑料垫。 ,-,-,2021-06-23
2,范**毛,颜色分类: （不锈钢盖）-550ml 耐热把手油壶,好评,买的550ml的，适合三口之家。特意试了一下，不会粘到瓶口，很方便 ,-,-,2021-06-25
3,苑**叶,颜色分类: （不锈钢盖）550ml+750ml两只装【立省10元】,好评,不错，一个装香油一个装炒菜油，方便多了，终于解决了倒油不方便的难题，推荐购买。,-,-,2021-06-24
4,碧**茜,颜色分类: （竹木盖）-550ml 耐热把手油壶,好评,产品功能：轻巧实用 外观材质：玻璃材质 商品品质：手感好，轻便好用。 发货物流都很给力，包装很用心，泡沫箱子保护得很好，外观没有损坏。 试用了两次，目前感觉不错，壶嘴没有发现流油现象，推荐大家购买。 ,-,-,2021-06-25
5,于**n,颜色分类: 【搭配购】550ml不锈钢盖油壶+升级款蚝油瓶压嘴,好评,给老爸买的，之前家里油壶嘴在壶口那里，总是用一段时间壶盖就被油泡的拧不紧漏油，特别不用，看到这款正合适，壶嘴低再也不担心漏油了。 ,-,-,2021-06-25
6,麻**6,颜色分类: （不锈钢盖）-550ml 耐热把手油壶,好评,此用户没有填写评价。,最满意的油壶，特别喜欢,非常感谢您的支持，这款采用耐热高硼硅材质轻重合适，好用，性价比高，不会漏油，玻璃质量好，结实耐用，晶莹剔透，出油顺畅不挂油不滴油不漏油！！加大容量！！易于清洗！！让您爱上厨房烹饪！！非常感谢您的支持，这款采用耐热高硼硅材质，结实耐用，晶莹剔透，出油顺畅不挂油不滴油不漏油！！加大容量！！易于清洗！！让您爱上厨房烹饪！！,2021-04-11
7,b**h,颜色分类: （不锈钢盖）-550ml 耐热把手油壶,好评,产品功能：多用 外观材质：很好 商品品质：很好 这个玻璃油壶装食用油是最好的，当然也可以盛装其他，容易清洁，卫生干净。好评！  ,-,-,2021-06-22
8,翮**t,颜色分类: （不锈钢盖）-550ml 耐热把手油壶,好评,应该有个壶嘴的小盖子，并没有……这么一小东西估计卖家不会给补发，就算了吧，我用唇膏盖子代替了╮( •́ω•̀ )╭冲洗干净晾晒中，不知道好不好用 ,-,-,2021-06-26
9,雨**1,颜色分类: （不锈钢盖）-550ml 耐热把手油壶,好评,产品功能：l最大的优点是比我之前用过的油壸倒油时不漏油，基本上是滴油不漏！玻璃制品环保没得说！还有刻度可控油量！总之就是满意！值得拥有！谢谢啦！ ,-,-,2021-06-15
10,a**2,颜色分类: （竹木盖）-550ml 耐热把手油壶,好评,好薄的油瓶子，还有油嘴盖太大，好容易掉，加上太贵了，不值得这个价格，没有下单的朋友不要上当了,-,-,2021-06-26
11,风**8,颜色分类: （不锈钢盖）-550ml 耐热把手油壶,好评,玻璃油壶此较轻，使用时应该要倍加小心，使用还是方便。好评。 ,-,-,2021-06-22
12,t**2,颜色分类: （不锈钢盖）550ml+750ml两只装【立省10元】,好评,漂亮，实用。,-,-,2021-06-18
13,我**0,颜色分类: 【搭配购】550ml不锈钢盖油壶+升级款蚝油瓶压嘴,好评,挺好用的！ 之前看评价里有人说瓶嘴挂油有点担心… 用了两天之后感觉还不错… 之前用过好几种油壶不是这样的问题就是那样的问题。 这个油壶用了还行， 挺不错，比较满意！ ,-,-,2021-06-26
