数据下载时间：2021-05-25 12:47:50 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/qinqin亲亲旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i3/2153863260/O1CN01Oi9yzb1Zx7r4F0vRa_!!2153863260.jpg,满减亲亲薯片袋装60g网红零食小吃休闲食品办公室小零食充饥夜宵,	645679966552,,7.9,7.9,12.9,12.9,61.24%,5,3073,8,0,0,0,0,0,0,0,0,0,,,优惠促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,饼干/膨化,膨化食品,,,2021-05-31,15:54:59,6天3时7分16秒,一,http://item.taobao.com/item.htm?id=645679966552,https://kandianbao.com/item/645679966552/, 
2,https://img.alicdn.com/imgextra/i3/2153863260/O1CN01CBEMMm1Zx7qu5Q9ML_!!2153863260.jpg,满减亲亲蛋圆饼干70g网红小圆饼焦糖鸡蛋零食小吃休闲食品饼干,	646028155007,,8.9,8.9,18.9,18.9,47.09%,2,20664,8,0,0,0,0,0,0,0,0,0,,,优惠促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,饼干/膨化,蛋圆饼干,,,2021-05-31,16:54:24,6天4时6分41秒,一,http://item.taobao.com/item.htm?id=646028155007,https://kandianbao.com/item/646028155007/, 
3,https://img.alicdn.com/imgextra/i3/2153863260/O1CN015alhrS1Zx7r0CdYaq_!!2153863260.jpg,满减亲亲果冻130g*1支茶清果轻吸吸果冻可吸零食网红食品,	606904906521,,9.6,9.6,10,10,96.00%,4,12038,8,0,1633,0,0,0,15676.8,304,942,0,,,优惠促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,糖果零食/果冻/布丁,果冻/布丁,,,2021-05-31,14:11:27,6天1时23分44秒,一,http://item.taobao.com/item.htm?id=606904906521,https://kandianbao.com/item/606904906521/,回购好几次(2);小小的(3);正品(5);效果好(3);不贵(15);味道涩涩的(3)
4,https://img.alicdn.com/imgextra/i1/2153863260/O1CN016PiXDQ1Zx7r8R7IUp_!!2153863260.jpg,满减亲亲麦香鸡味块105g薯片膨化零食大礼包好吃的网红办公室零食,	645328261944,,11.9,11.9,19,19,62.63%,2,3320,8,0,0,0,0,0,0,0,0,0,,,优惠促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,饼干/膨化,膨化食品,,,2021-05-31,15:37:07,6天2时49分24秒,一,http://item.taobao.com/item.htm?id=645328261944,https://kandianbao.com/item/645328261944/, 
5,https://img.alicdn.com/imgextra/i3/2153863260/O1CN014IZgHO1Zx7r9u6XQc_!!2153863260.jpg,满减亲亲小芯意乳酸菌布丁可吸蒟蒻果汁果冻0脂儿童休闲零食果冻,	640595234186,,12.3,12.3,29.6,29.6,41.55%,3,10568,0,0,33,0,0,0,405.90000000000003,4,0,0,,,疯狂抢购,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,糖果零食/果冻/布丁,果冻/布丁,,,2021-05-31,14:09:19,6天1时21分36秒,一,http://item.taobao.com/item.htm?id=640595234186,https://kandianbao.com/item/640595234186/, 
6,https://img.alicdn.com/imgextra/i1/2153863260/O1CN01h72ek91Zx7r8R7lW6_!!2153863260.jpg,满减 亲亲脆脆薯75gx1包 原味薯条办公室休闲吃货零食小吃食品,	645325357064,,12.9,12.9,19.4,19.4,66.49%,1,22040,0,0,0,0,0,0,0,0,0,0,,,新品促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,饼干/膨化,膨化食品,,,2021-05-31,16:07:34,6天3时19分51秒,一,http://item.taobao.com/item.htm?id=645325357064,https://kandianbao.com/item/645325357064/, 
7,https://img.alicdn.com/imgextra/i3/2153863260/O1CN01cI2BKa1Zx7r2kc8hz_!!2153863260.jpg,满减亲亲香酥小麻花110g袋装网红办公室零食小吃休闲食品即食,	646027807244,,12.9,12.9,19,19,67.89%,2,38305,8,0,0,0,0,0,0,0,0,0,,,优惠促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,饼干/膨化,膨化食品,,,2021-05-31,16:00:37,6天3时12分54秒,一,http://item.taobao.com/item.htm?id=646027807244,https://kandianbao.com/item/646027807244/, 
8,https://img.alicdn.com/imgextra/i3/2153863260/O1CN01CbjeiV1Zx7r0j6zHS_!!2153863260.jpg,满减亲亲咸蛋黄卷180g酥脆蛋卷心酥零食小吃休闲食品饼干夹心蛋卷,	644937616614,,13.9,13.9,19.9,19.9,69.85%,1,1737,8,0,0,0,0,0,0,0,0,0,,,优惠促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,饼干/膨化,蛋卷饼干,,,2021-05-31,17:15:01,6天4时27分18秒,一,http://item.taobao.com/item.htm?id=644937616614,https://kandianbao.com/item/644937616614/, 
9,https://img.alicdn.com/imgextra/i3/2153863260/O1CN01Q81oEs1Zx7r9u95SY_!!2153863260.jpg,满减 亲亲脆脆蔬50gx1袋 蔬菜干什锦果蔬脆混合装儿童零食蔬果干,	645671866637,,13.9,13.9,20.9,20.9,66.51%,1,8109,0,0,0,0,0,0,0,0,0,0,,,新品促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,蜜饯/枣类/梅/果干/冻干,蔬果干/混合冻干/混合果干,,,2021-05-31,16:09:37,6天3时21分54秒,一,http://item.taobao.com/item.htm?id=645671866637,https://kandianbao.com/item/645671866637/, 
10,https://img.alicdn.com/imgextra/i1/2153863260/O1CN01UvexHs1Zx7r2kMtXu_!!2153863260.jpg,满减亲亲青豆豌豆炒货小包装原味即食小零食小吃休闲食品豆子100g,	646027747392,,14.2,14.2,26.9,26.9,52.79%,1,3478,8,0,0,0,0,0,0,0,0,0,,,优惠促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,山核桃/坚果/炒货,豆类制品,,,2021-05-31,16:07:20,6天3时19分37秒,一,http://item.taobao.com/item.htm?id=646027747392,https://kandianbao.com/item/646027747392/, 
