数据下载时间：2021-05-26 12:34:52 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/九日旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i1/2287732599/O1CN01Sux8Xj1V4O2hF0Hb9_!!0-item_pic.jpg,[凑单] 九日马来西亚进口儿童饮料欧巴熊芒果汁饮料批发250ml/瓶,	556326416021,,5.9,5.9,11,11,53.64%,1,1,5,0,125,0,0,0,737.5,28,3,0,,,热卖促销,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,果味/风味饮料,,,2021-05-29,08:26:04,2天19时51分15秒,六,http://item.taobao.com/item.htm?id=556326416021,https://kandianbao.com/item/556326416021/, 
2,https://img.alicdn.com/imgextra/i4/2287732599/O1CN01sxABWq1V4O2dVqxFb_!!0-item_pic.jpg,[凑单] 九日马来西亚进口儿童饮品欧巴熊荔枝果汁饮料250ml/瓶,	556504231810,,5.9,5.9,11,11,53.64%,1,80,5,0,165,0,0,0,973.5000000000001,36,3,0,,,热卖促销,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,果味/风味饮料,,,2021-05-27,08:22:16,19时47分27秒,四,http://item.taobao.com/item.htm?id=556504231810,https://kandianbao.com/item/556504231810/, 
3,https://img.alicdn.com/imgextra/i1/2287732599/O1CN017Httef1V4O2YboKl1_!!0-item_pic.jpg,[凑单] 九日泰国进口秋语NFC果汁非浓缩还原汁饮品百香果蔬238ml,	552874854698,,12.9,12.9,25,25,51.60%,0,95,5,0,67,0,0,0,864.3000000000001,38,13,0,,,热卖促销,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-06-01,07:55:48,5天19时20分59秒,二,http://item.taobao.com/item.htm?id=552874854698,https://kandianbao.com/item/552874854698/, 
4,https://img.alicdn.com/imgextra/i2/2287732599/O1CN01mw8F2K1V4O3VovJMO_!!0-item_pic.jpg,韩国进口青佑巧克力打糕九日巧克力味糯米夹心小吃18盒整箱批发,	610608518484,,108.0,108.0,199,199,54.27%,1,100,0,0,95,0,0,0,10260,32,11,0,,,热卖促销,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,糕点/点心,传统糕点,,,2021-05-29,16:32:27,3天3时57分38秒,六,http://item.taobao.com/item.htm?id=610608518484,https://kandianbao.com/item/610608518484/, 
5,https://img.alicdn.com/imgextra/i1/2287732599/O1CN016NuKkU1V4O3V01Zzz_!!2287732599-0-picasso.jpg,九日进口食品饼干海苔混装送礼聚宝盆零食大礼包礼盒一箱送好友,	637421652851,,129.0,129.0,299,299,43.14%,1,48,0,0,1,0,0,0,129,2,0,0,,,新品上新,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,饼干/膨化,膨化食品,,,2021-05-29,08:39:15,2天20时4分26秒,六,http://item.taobao.com/item.htm?id=637421652851,https://kandianbao.com/item/637421652851/, 
6,https://img.alicdn.com/imgextra/i4/2287732599/O1CN01N0GhXE1V4O3XXBkj7_!!0-item_pic.jpg,九日韩国进口甜辣辣炒年糕条 开袋即食 年糕膨化零食100g*20袋,	558644755148,,199.0,199.0,199.0,199.0,100.00%,2,30,0,0,307,0,0,0,61093,412,0,1,,,,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,饼干/膨化,膨化食品,,,2021-05-29,13:54:31,3天1时19分42秒,六,http://item.taobao.com/item.htm?id=558644755148,https://kandianbao.com/item/558644755148/, 
7,https://img.alicdn.com/imgextra/i1/2287732599/O1CN01pSqD8I1V4O3YVGldd_!!2287732599-0-picasso.jpg,九日欧巴熊烤海苔片 寿司包饭海苔儿童即食韩国进口海苔 紫菜辅食,	520519760489,,29.9,29.9,45,45,66.44%,1,143,0,1,10605,0.00%,29.9,0.00%,317089.5,532,65,0,,,热卖促销,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,鱿鱼丝/鱼干/海味即食,海苔系列,,,2021-06-01,08:49:54,5天20时15分5秒,二,http://item.taobao.com/item.htm?id=520519760489,https://kandianbao.com/item/520519760489/, 
8,https://img.alicdn.com/imgextra/i1/2287732599/O1CN01h6XBFk1V4O3QxT00N_!!2287732599-0-picasso.jpg,九日泰国进口中秋秋语NFC果汁非浓缩还原汁饮料龙眼山竹百香果3瓶,	552834929317,,29.9,29.9,75,75,39.87%,1,48,0,1,242,0.00%,29.9,0.00%,7235.799999999999,174,12,1,,,热卖促销,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-30,17:28:20,4天4时53分31秒,日,http://item.taobao.com/item.htm?id=552834929317,https://kandianbao.com/item/552834929317/, 
9,https://img.alicdn.com/imgextra/i1/2287732599/O1CN01TGDpbi1V4O3U0i5dZ_!!2287732599-0-picasso.jpg,九日泰国进口饮料秋语NFC果汁非浓缩还原汁山竹菠萝饮品批发3瓶,	554430584897,,29.9,29.9,75,75,39.87%,1,48,0,1,385,0.00%,29.9,0.00%,11511.5,260,26,0,,,热卖促销,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-06-01,08:43:40,5天20时8分51秒,二,http://item.taobao.com/item.htm?id=554430584897,https://kandianbao.com/item/554430584897/, 
10,https://img.alicdn.com/imgextra/i1/2287732599/O1CN01I9ZOEb1V4O2x4h5nx_!!0-item_pic.jpg,九日马来西亚中秋进口饮品欧巴熊儿童果味饮料整箱饮料250ml*4,	556480578814,,29.9,29.9,69.9,69.9,42.78%,5,262,0,1,520,0.00%,29.9,0.00%,15548,180,45,0,,,热卖促销,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,果味/风味饮料,,,2021-06-01,14:20:36,6天1时45分47秒,二,http://item.taobao.com/item.htm?id=556480578814,https://kandianbao.com/item/556480578814/, 
