数据下载时间：2021-05-27 11:11:21 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/云上春天旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i3/2209035546841/O1CN01ABQAMu20PE8zgdth5_!!0-item_pic.jpg,【向往的生活同款】薇娅推荐云南西双版纳云上春天菠萝干零食盒装,	626465490698,,39.9,39.9,68,68,58.68%,1,250,0,18,18,1.01%,718.1999999999999,1.04%,718.1999999999999,4,0,0,,,专属优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,蜜饯/枣类/梅/果干/冻干,菠萝/凤梨干,,,2021-05-28,11:11:49,1天0分29秒,五,http://item.taobao.com/item.htm?id=626465490698,https://kandianbao.com/item/626465490698/, 
2,https://img.alicdn.com/imgextra/i3/2209035546841/O1CN01YOJJTQ20PEA1nNi9N_!!2209035546841.jpg,【云上春天】黑钻葡萄干大颗粒云南西双版纳果脯免洗即食休闲零食,	625846728371,,49.9,49.9,98,98,50.92%,1,4907,0,28,140,1.57%,1397.2,2.02%,6986,68,27,0,,,专属优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,蜜饯/枣类/梅/果干/冻干,葡萄干,,,2021-06-01,16:00:29,5天4时49分9秒,二,http://item.taobao.com/item.htm?id=625846728371,https://kandianbao.com/item/625846728371/, 
3,https://img.alicdn.com/imgextra/i3/2209035546841/O1CN01Q4PfJk20PE8nOWd6i_!!2209035546841.jpg,【云上春天】冻干榴莲干云南西双版纳零食小吃水果脯健康休闲食品,	626746603431,,79.8,79.8,138,138,57.83%,1,4928,0,36,111,2.02%,2872.7999999999997,4.16%,8857.8,60,13,0,,,专属优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,蜜饯/枣类/梅/果干/冻干,榴莲干,,,2021-05-27,10:00:23,1时10分4秒,四,http://item.taobao.com/item.htm?id=626746603431,https://kandianbao.com/item/626746603431/, 
4,https://img.alicdn.com/imgextra/i3/2209035546841/O1CN01L1am0l20PE8XLDuGP_!!0-item_pic.jpg,【云上春天】火龙果干云南西双版纳果脯干零食小吃盒装休闲食品,	626169573558,,39.9,39.9,68,68,58.68%,1,4680,0,80,484,4.50%,3192,4.62%,19311.6,200,75,0,,,专属优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,蜜饯/枣类/梅/果干/冻干,蔬果干/混合冻干/混合果干,,,2021-06-02,10:00:29,5天22时49分9秒,三,http://item.taobao.com/item.htm?id=626169573558,https://kandianbao.com/item/626169573558/,很好吃(4);很新鲜(2)
5,https://img.alicdn.com/imgextra/i3/2209035546841/O1CN01uHq9jb20PEA4zI9dR_!!2209035546841.jpg,【云上春天】云南西双版纳香甜水果干果脯健康零食休闲食品组合装,	643916248453,,59.9,59.9,169.9,169.9,35.26%,5,918,0,107,108,6.01%,6409.3,9.27%,6469.2,22,7,0,,,狂欢大促,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,蜜饯/枣类/梅/果干/冻干,草莓干,,,2021-05-28,19:00:00,1天7时48分40秒,五,http://item.taobao.com/item.htm?id=643916248453,https://kandianbao.com/item/643916248453/, 
6,https://img.alicdn.com/imgextra/i3/2209035546841/O1CN011Ukb5p20PE9zcIcUD_!!0-item_pic.jpg,【云上春天】海盐椰子干云南西双版纳香脆健康零食小吃休闲食品,	626464654152,,39.9,39.9,68,68,58.68%,1,4516,0,147,816,8.26%,5865.3,8.48%,32558.399999999998,400,131,0,,,专属优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,蜜饯/枣类/梅/果干/冻干,椰子片,,,2021-06-01,10:28:51,4天23时17分31秒,二,http://item.taobao.com/item.htm?id=626464654152,https://kandianbao.com/item/626464654152/,很好吃(5);包装很好(2)
7,https://img.alicdn.com/imgextra/i3/2209035546841/O1CN010GjtUQ20PEA1nbXab_!!0-item_pic.jpg,【云上春天】勐海小草莓干云南西双版纳香甜水果健康零食休闲食品,	626455046183,,39.9,39.9,68,68,58.68%,1,3840,0,267,39768,15.01%,10653.3,15.41%,1586743.2,2596,3047,0,,,专属优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,蜜饯/枣类/梅/果干/冻干,草莓干,,,2021-05-30,10:06:08,2天22时54分48秒,日,http://item.taobao.com/item.htm?id=626455046183,https://kandianbao.com/item/626455046183/,挺干净卫生(2);甜甜的(11);质量好(3);很好吃(93);保质期长(2);太少了(7)
8,https://img.alicdn.com/imgextra/i3/2209035546841/O1CN01ZrpSKe20PE9yt9BFl_!!0-item_pic.jpg,【云上春天】香蕉干自然晒干非油炸云南西双版纳零食小吃休闲食品,	626456390718,,39.9,39.9,68,68,58.68%,1,2936,0,525,3425,29.51%,20947.5,30.30%,136657.5,2538,500,0,,,专属优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,蜜饯/枣类/梅/果干/冻干,香蕉干/片,,,2021-05-27,18:12:42,7时1分22秒,四,http://item.taobao.com/item.htm?id=626456390718,https://kandianbao.com/item/626456390718/,口感非常好(35);包装挺好(10);很鲜甜(8);有劲道(3);没有添加剂(2);不好吃(9)
9,https://img.alicdn.com/imgextra/i2/2209035546841/O1CN019V50ET20PE9zO44Cy_!!0-item_pic.jpg,【薇娅推荐】云南云上春天西双版纳香甜芒果干盒装水果干果脯零食,	642186028996,,29.9,29.9,39.9,39.9,74.94%,0,16268,0,571,73605,32.10%,17072.899999999998,24.70%,2200789.5,1792,4805,0,,,专属优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,蜜饯/枣类/梅/果干/冻干,芒果干,,,2021-05-27,20:36:38,9时25分18秒,四,http://item.taobao.com/item.htm?id=642186028996,https://kandianbao.com/item/642186028996/,不干(4);份量很足(37);很好吃(643);很鲜甜(92);个子挺大(12);不好吃(38)
,,,,,,,,,,,,,30天销量总计,,,30天销售额总计,,,收藏数总计,,分享量总计,,,,,,,,,,,,,,,,
