数据下载时间：2021-05-25 10:45:40 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/卡滋乐旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i2/TB1uLQqSpXXXXaFapXXXXXXXXXX_!!0-item_pic.jpg,【卡滋乐 小红枣 500g*2 袋】新疆红枣 若羌灰枣红枣干果包邮,	547946504267,,39.9,39.9,39.90,39.90,100.00%,0,7127,0,1,3820,0.00%,39.9,0.00%,152418,848,0,0,,,,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,蜜饯/枣类/梅/果干/冻干,枣类制品,,,2021-05-31,16:01:18,6天5时15分43秒,一,http://item.taobao.com/item.htm?id=547946504267,https://kandianbao.com/item/547946504267/, 
2,https://img.alicdn.com/imgextra/i1/1771578835/O1CN012lzFmq2F8Tr7QQq8F_!!1771578835-2-lubanu-s.png,卡滋乐千纸鹤糖果混合水果味喜糖散装硬糖创意小零食小吃休闲食品,	623964180318,,14.9,14.9,59,59,25.25%,1,9840,0,13,156,0.00%,193.70000000000002,0.00%,2324.4,64,29,0,,,优惠活动,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,糖果零食/果冻/布丁,糖果,,,2021-05-25,10:15:06,30分32秒,二,http://item.taobao.com/item.htm?id=623964180318,https://kandianbao.com/item/623964180318/, 
3,https://img.alicdn.com/imgextra/i1/1771578835/O1CN01vTo6bD2F8Tqpd17nL_!!1771578835-0-lubanu-s.jpg,卡滋乐 芒果干包邮250g*1袋批发 散装水果芒果干片休闲零食共250g,	622040541869,,18.6,18.6,50,50,37.20%,1,4427,0,22,547,0.00%,409.20000000000005,0.00%,10174.2,74,86,0,,,优惠活动,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,蜜饯/枣类/梅/果干/冻干,芒果干,,,2021-05-27,21:37:34,2天10时51分59秒,四,http://item.taobao.com/item.htm?id=622040541869,https://kandianbao.com/item/622040541869/, 
4,https://img.alicdn.com/imgextra/i2/1771578835/O1CN01ebUTiP2F8Tuy9wVqA_!!0-item_pic.jpg,蜂蜜黄芥末酱不倒翁韩式 沙拉酱商用炸鸡酱料小包装蘸酱0,	643584417630,,7.9,21.9,7.9,21.9,100.00%,2,1974,0,24,24,0.00%,324,0.00%,324,8,3,0,,,,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,调味品/果酱/沙拉,酱类调料,,,2021-05-29,21:53:25,4天11时7分50秒,六,http://item.taobao.com/item.htm?id=643584417630,https://kandianbao.com/item/643584417630/, 
5,https://img.alicdn.com/imgextra/i3/1771578835/O1CN01JsVDzR2F8Tuw7dBVH_!!0-item_pic.jpg,棉花糖烘焙雪花酥 专用原材料伊高白色原味自制做牛轧糖奶枣材料,	644378863879,,9.9,9.9,19.9,19.9,49.75%,0,976,0,24,24,0.00%,237.60000000000002,0.00%,237.60000000000002,4,1,0,,,早买早优惠,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,糖果零食/果冻/布丁,糖果,,,2021-05-28,21:04:26,3天10时18分51秒,五,http://item.taobao.com/item.htm?id=644378863879,https://kandianbao.com/item/644378863879/, 
6,https://img.alicdn.com/imgextra/i1/1771578835/O1CN01Ekx0y52F8TuIsTe4g_!!0-item_pic.jpg,佳龙小面筋网红辣条零食大礼包麻辣豆干儿时大刀肉8090后怀旧素肉,	640620319482,,8.9,29.9,49,49,61.02%,3,2892,0,29,103,0.00%,501.70000000000005,0.00%,1781.9,18,18,0,,,优惠活动,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,豆干制品/蔬菜干,豆腐干,,,2021-05-30,16:14:17,5天5时28分42秒,日,http://item.taobao.com/item.htm?id=640620319482,https://kandianbao.com/item/640620319482/, 
7,https://img.alicdn.com/imgextra/i1/1771578835/O1CN01TQK4ln2F8Trsl755n_!!0-item_pic.jpg,沙拉汁焙煎芝麻酱沙拉酱水果蔬菜轻食酱料培煎芝麻味沙拉油醋汁,	628470708961,,9.8,9.8,40,40,24.50%,3,8745,0,33,532,0.00%,323.40000000000003,0.00%,5213.6,252,113,0,,,优惠活动,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,调味品/果酱/沙拉,沙拉/千岛/蛋黄酱,,,2021-05-26,22:37:39,1天11时52分4秒,三,http://item.taobao.com/item.htm?id=628470708961,https://kandianbao.com/item/628470708961/,口感不错(11);物流挺快(3);卖家很好笑(3);客服态度不好(2)
8,https://img.alicdn.com/imgextra/i2/1771578835/O1CN01XI5joy2F8Tv0pDJXr_!!0-item_pic.jpg,伊利畅意100%原味乳酸菌100ml*30瓶整箱益生菌酸牛奶儿童饮品饮料,	643150176945,,9.9,52.0,80,100,52.00%,10,1945,0,53,53,0.01%,1417.22,0.01%,1417.22,34,9,0,,,优惠活动,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,乳制品,含乳饮料,,,2021-05-29,04:01:20,3天17时15分45秒,六,http://item.taobao.com/item.htm?id=643150176945,https://kandianbao.com/item/643150176945/, 
9,https://img.alicdn.com/imgextra/i1/1771578835/O1CN01u0GKJQ2F8TpgccFbL_!!1771578835-0-lubanu-s.jpg,卡滋乐 葡萄干2021新货250g新疆特级超大免洗黑加仑黑葡萄干零食,	592447707846,,19.9,19.9,19.90,19.90,100.00%,0,1232,0,55,16227,0.01%,1094.5,0.01%,322917.3,3004,3337,0,,,,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,蜜饯/枣类/梅/果干/冻干,葡萄干,,,2021-05-30,14:22:24,5天3时36分49秒,日,http://item.taobao.com/item.htm?id=592447707846,https://kandianbao.com/item/592447707846/,小小颗粒(2);很鲜甜(6);很大个(6);价格很便宜(12);很好吃(40);不可信商家(2)
10,https://img.alicdn.com/imgextra/i1/1771578835/O1CN01EhfCw82F8TtvXzCBt_!!0-item_pic.jpg,米多奇香米饼雪饼大米饼办公室儿童宿舍零食小吃网红休闲即食食品,	638431982691,,8.9,15.0,40,40,37.50%,5,288,0,57,188,0.01%,646.38,0.00%,2131.92,16,43,0,,,优惠活动,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,饼干/膨化,膨化食品,,,2021-05-29,15:50:31,4天5时4分56秒,六,http://item.taobao.com/item.htm?id=638431982691,https://kandianbao.com/item/638431982691/, 
