数据下载时间：2021-05-28 21:09:24 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/喜得佳旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i1/2931357948/O1CN01mvDcVQ28aEWPqG3BP_!!2931357948.jpg,喜得佳 番茄芝士肠500g 加热即食热狗肉肠德国风味烧烤德式香肠,	606208844763,,39.8,39.8,179,179,22.23%,0,135,0,0,397,0,0,0,15800.599999999999,378,46,0,,,热卖促销|淘金币抵3%,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,南北干货/肉类干货,香肠/腊肠,,,2021-06-01,17:44:29,3天20时35分8秒,二,http://item.taobao.com/item.htm?id=606208844763,https://kandianbao.com/item/606208844763/, 
2,https://img.alicdn.com/imgextra/i2/2931357948/O1CN01MqOn9Z28aEW1CbNJZ_!!2931357948.jpg,喜得佳 正宗潮汕芝士爆浆墨鱼丸300g 火锅食材冷冻手工花枝鱼丸子,	594254748971,,69.8,69.8,188,188,37.13%,0,38,0,0,57,0,0,0,3978.6,24,14,0,,,热卖促销|淘金币抵3%,不支持7天无理由|蚂蚁花呗|信用卡支付|集分宝,水产肉类/新鲜蔬果/熟食,海鲜/水产品/制品,墨鱼丸/花枝丸,,,2021-05-31,12:03:30,2天14时54分9秒,一,http://item.taobao.com/item.htm?id=594254748971,https://kandianbao.com/item/594254748971/, 
3,https://img.alicdn.com/imgextra/i4/2931357948/O1CN01a05IKe28aEW1CZEGz_!!2931357948.jpg,喜得佳 德式风味法兰克福香肠3斤热狗脆皮肠火锅冷冻烧烤食材肉肠,	564658110063,,79.8,79.8,239,239,33.39%,0,14,0,0,835,0,0,0,66633,444,57,0,,,热卖促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,南北干货/肉类干货,香肠/腊肠,,,2021-06-01,17:47:06,3天20时37分45秒,二,http://item.taobao.com/item.htm?id=564658110063,https://kandianbao.com/item/564658110063/, 
4,https://img.alicdn.com/imgextra/i4/2931357948/O1CN010S3uvJ28aEaWp9sQ7_!!2931357948.jpg,喜得佳 香草早餐肠500g 纯肉热狗烤肠烧烤肉肠香肠冷冻脆皮肠火锅,	596029901653,,79.8,79.8,189,189,42.22%,0,5,0,0,2615,0,0,0,208677,634,475,0,,,热卖促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,南北干货/肉类干货,香肠/腊肠,,,2021-06-03,17:28:27,5天20时19分6秒,四,http://item.taobao.com/item.htm?id=596029901653,https://kandianbao.com/item/596029901653/,很好吃(4);味道太淡了(2)
5,https://img.alicdn.com/imgextra/i3/2931357948/O1CN01EaH3WU28aEVvDdncw_!!2931357948.jpg,喜得佳德式风味法兰克福香肠500g热狗脆皮肠烧烤食材肉肠火锅冷冻,	535840491947,,79.8,79.8,169,169,47.22%,0,48,0,1,3992,0.00%,79.8,0.00%,318561.6,730,158,0,,,热卖促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,南北干货/肉类干货,香肠/腊肠,,,2021-05-31,14:39:16,2天17时29分55秒,一,http://item.taobao.com/item.htm?id=535840491947,https://kandianbao.com/item/535840491947/, 
6,https://img.alicdn.com/imgextra/i2/2931357948/O1CN01L0U6np28aEYPwvfVk_!!2931357948.jpg,喜得佳 牛排套餐家庭团购儿童黑椒腌制牛扒10片进口新鲜牛肉20,	626094361588,,89,89,299,299,29.77%,0,999811,0,1,167,0.00%,89,0.00%,14863,98,35,0,,,热卖促销|淘金币抵3%,不支持7天无理由|蚂蚁花呗|信用卡支付|集分宝,水产肉类/新鲜蔬果/熟食,生肉/肉制品,牛排,,,2021-05-31,10:00:16,2天12时50分55秒,一,http://item.taobao.com/item.htm?id=626094361588,https://kandianbao.com/item/626094361588/, 
7,https://img.alicdn.com/imgextra/i2/2931357948/O1CN01z69GXr28aEYTGb3Ls_!!2931357948.jpg,喜得佳牛排原肉整切黑椒菲力10片西冷厚切眼肉儿童家庭牛扒新鲜20,	627749657257,,168,168,399,399,42.11%,0,199901,0,1,95,0.00%,168,0.00%,15960,88,25,0,,,热卖促销|淘金币抵3%,不支持7天无理由|蚂蚁花呗|信用卡支付|集分宝,水产肉类/新鲜蔬果/熟食,生肉/肉制品,牛排,,,2021-05-28,19:50:10,1时19分50秒,五,http://item.taobao.com/item.htm?id=627749657257,https://kandianbao.com/item/627749657257/, 
8,https://img.alicdn.com/imgextra/i3/2931357948/O1CN018QVU6W28aEYFYqcLt_!!2931357948.jpg,喜得佳牛排套餐团购2kg黑椒腌制家庭牛扒20片进口肉源新鲜牛肉20,	624518688578,,188,188,399,399,47.12%,0,499929,0,1,63,0.00%,188,0.00%,11844,56,17,0,,,热卖促销|淘金币抵3%,不支持7天无理由|蚂蚁花呗|信用卡支付|集分宝,水产肉类/新鲜蔬果/熟食,生肉/肉制品,牛排,,,2021-05-31,19:26:48,2天22时17分27秒,一,http://item.taobao.com/item.htm?id=624518688578,https://kandianbao.com/item/624518688578/, 
9,https://img.alicdn.com/imgextra/i4/2931357948/O1CN01Ti07Ll28aEVAV3Cux_!!0-item_pic.jpg,喜得佳旗舰店 商品兑换卡 4次/260元（有效期180天）,	605421790370,,260.0,260.0,260.0,260.0,100.00%,1,21334,0,1,178,0.00%,260,0.00%,46280,30,28,0,,,淘金币抵3%,7天无理由|蚂蚁花呗|信用卡支付|集分宝,兑换卡,水产肉类/新鲜蔬果/熟食卡,生肉/肉制品兑换卡,,,2021-05-28,14:20:56,6时48分36秒,五,http://item.taobao.com/item.htm?id=605421790370,https://kandianbao.com/item/605421790370/, 
10,https://img.alicdn.com/imgextra/i2/2931357948/O1CN01oPofQb28aEYfx6pup_!!2931357948.jpg,喜得佳菠菜虾丸250g潮汕手工虾滑鱼丸子烧烤火锅食材麻辣烫关东煮,	611307866690,,21.8,21.8,299,299,7.29%,0,20219,10,2,711,0.00%,43.6,0.00%,15499.800000000001,142,86,0,,,热卖促销|淘金币抵3%,不支持7天无理由|蚂蚁花呗|信用卡支付|集分宝,水产肉类/新鲜蔬果/熟食,海鲜/水产品/制品,虾类制品,,,2021-05-28,10:50:16,10时19分56秒,五,http://item.taobao.com/item.htm?id=611307866690,https://kandianbao.com/item/611307866690/, 
