数据下载时间：2021-05-25 14:35:25 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/好利来官方旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i1/2455221099/O1CN01jukDHA1JzNxIM1Wsw_!!0-item_pic.jpg,618预售】好利来奥巧味套餐双层芝士+空气盒子蛋糕零食糕点甜品,	628773647527,,20.0,20.0,114,114,17.54%,1,4991,0,9,17667,0.00%,180,0.00%,353340,29806,3641,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,糕点/点心,西式糕点,,,2021-05-31,15:39:47,6天1时4分30秒,一,http://item.taobao.com/item.htm?id=628773647527,https://kandianbao.com/item/628773647527/,没有很甜(17);小小的(3);偏甜分量(2);很好吃(241);没破损(2);回复避重就轻(4)
2,https://img.alicdn.com/imgextra/i2/2455221099/O1CN01EoJygU1JzNthCaHoX_!!2455221099-0-lubanu-s.jpg,好利来生日蛋糕订购-萌猫乐园-夹心奶油儿童乳脂生日蛋糕可爱猫,	565254290053,,199,499,199.0,499.0,100.00%,3,0,0,11,1315,0.00%,3509,0.02%,419485,2242,153,0,,,,假一赔四|破损包退|极速退款|不支持7天退换|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,新鲜蛋糕/低温糕点/短保烘焙,新鲜蛋糕/低温糕点/短保烘焙,,,2021-05-26,12:16:43,21时41分26秒,三,http://item.taobao.com/item.htm?id=565254290053,https://kandianbao.com/item/565254290053/,很好吃(2);发货速度很快(3);非常方便(2);造型好看(2)
3,https://img.alicdn.com/imgextra/i4/2455221099/O1CN01nLp91x1JzNtjp0KHG_!!2455221099-0-lubanu-s.jpg,好利来 生日 瑞鹤呈祥  酸奶提子 限北京、上海、南京,	588578974699,,699,999,699.0,999.0,100.00%,2,0,0,13,288,0.00%,10647,0.06%,235872,432,63,0,,,,假一赔四|破损包退|极速退款|不支持7天退换|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,新鲜蛋糕/低温糕点/短保烘焙,新鲜蛋糕/低温糕点/短保烘焙,,,2021-05-26,21:56:32,1天7时21分15秒,三,http://item.taobao.com/item.htm?id=588578974699,https://kandianbao.com/item/588578974699/, 
4,https://img.alicdn.com/imgextra/i4/2455221099/O1CN01OqaHdp1JzNvv2LiCx_!!2455221099-0-lubanu-s.jpg,好利来生日蛋糕-葡萄系列网红蛋糕同城配送-蛋糕订购葡萄茉莉味,	610938855350,,269,279,269.0,279.0,100.00%,2,0,0,16,7503,0.01%,4368,0.02%,2048319,13794,1667,0,,,,假一赔四|破损包退|极速退款|不支持7天退换|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,新鲜蛋糕/低温糕点/短保烘焙,新鲜蛋糕/低温糕点/短保烘焙,,,2021-06-01,11:14:03,6天20时38分46秒,二,http://item.taobao.com/item.htm?id=610938855350,https://kandianbao.com/item/610938855350/,不是很甜(14);小小(6);和图像一样(3);很好吃(167);量大(2);运费贵了(2)
5,https://img.alicdn.com/imgextra/i2/2455221099/O1CN01AuyWHr1JzNtix2H6J_!!2455221099-0-lubanu-s.jpg,好利来生日蛋糕   华美盛宴（35cm）  酸奶提子 限北京六环内订购,	588432701306,,699,699,699.0,699.0,100.00%,1,0,0,19,343,0.01%,13281,0.07%,239757,222,47,0,,,,假一赔四|破损包退|极速退款|不支持7天退换|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,新鲜蛋糕/低温糕点/短保烘焙,新鲜蛋糕/低温糕点/短保烘焙,,,2021-05-26,22:12:21,1天7时37分4秒,三,http://item.taobao.com/item.htm?id=588432701306,https://kandianbao.com/item/588432701306/, 
6,https://img.alicdn.com/imgextra/i1/2455221099/O1CN01yDY7E01JzNwxFUFNF_!!2455221099-0-lubanu-s.jpg,好利来冰淇淋网红自选冰棍雪糕冰激凌冷饮冰棒70g*3支,	595367784780,,45,45,45.0,45.0,100.00%,15,0,25,20,1218,0.01%,900,0.00%,54810,3092,177,0,,,,假一赔四|极速退款|不支持7天退换|蚂蚁花呗|信用卡支付|集分宝,水产肉类/新鲜蔬果/熟食,冰淇淋/冻品,冰淇淋/冻品,,,2021-05-27,16:18:57,2天1时43分40秒,四,http://item.taobao.com/item.htm?id=595367784780,https://kandianbao.com/item/595367784780/, 
7,https://img.alicdn.com/imgextra/i2/2455221099/O1CN01sUxqTa1JzNtgS44x1_!!2455221099-0-lubanu-s.jpg,好利来零食套餐半熟芝士舒芙蕾巧克力3件套餐蛋糕面包糕点礼盒,	550391220001,,83.0,83.0,83.0,83.0,100.00%,1,14663,12,21,8933,0.01%,1743,0.01%,741439,6632,474,0,,,,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,糕点/点心,西式糕点,,,2021-05-29,09:20:02,3天18时44分45秒,六,http://item.taobao.com/item.htm?id=550391220001,https://kandianbao.com/item/550391220001/, 
8,https://img.alicdn.com/imgextra/i2/2455221099/O1CN01rVchcP1JzNvHwftkH_!!2455221099-0-lubanu-s.jpg,好利来 生日玫瑰花园 玫瑰慕斯鲜果夹心 限北京预购,	588575334426,,269,369,269.0,369.0,100.00%,6,0,0,21,675,0.01%,6489,0.03%,208575,370,115,0,,,,假一赔四|破损包退|极速退款|不支持7天退换|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,新鲜蛋糕/低温糕点/短保烘焙,新鲜蛋糕/低温糕点/短保烘焙,,,2021-05-26,22:09:23,1天7时34分6秒,三,http://item.taobao.com/item.htm?id=588575334426,https://kandianbao.com/item/588575334426/, 
9,https://img.alicdn.com/imgextra/i4/2455221099/O1CN01d6uraS1JzNvGaQQt2_!!2455221099-0-lubanu-s.jpg,好利来 生日 水果风车 玫瑰慕斯鲜果夹心 限北京、上海、南京,	588442749141,,339,399,339.0,399.0,100.00%,6,0,0,22,1118,0.01%,7986,0.04%,405834,562,202,0,,,,假一赔四|破损包退|极速退款|不支持7天退换|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,新鲜蛋糕/低温糕点/短保烘焙,新鲜蛋糕/低温糕点/短保烘焙,,,2021-05-26,21:41:44,1天7时6分27秒,三,http://item.taobao.com/item.htm?id=588442749141,https://kandianbao.com/item/588442749141/,口感非常好(10);物流很快(2);还实惠(2);不好吃(2)
10,https://img.alicdn.com/imgextra/i3/2455221099/O1CN01aV2uF41JzNwA9GKAp_!!2455221099.jpg,好利来生日蛋糕-快乐成长-6英寸和8英寸为单层/10英寸为双层儿童,	548107382876,,199,499,199.0,499.0,100.00%,3,0,0,25,5935,0.01%,7975,0.04%,1893265,3924,207,0,,,,假一赔四|破损包退|极速退款|不支持7天退换|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,新鲜蛋糕/低温糕点/短保烘焙,新鲜蛋糕/低温糕点/短保烘焙,,,2021-05-28,02:25:24,2天11时50分7秒,五,http://item.taobao.com/item.htm?id=548107382876,https://kandianbao.com/item/548107382876/,卫生(2);很好吃(4);儿子很喜欢(3);很方便(3);客服态度很好(2);造型设计可爱(3)
11,https://img.alicdn.com/imgextra/i2/2455221099/O1CN01f9pd8x1JzNvDhQQRX_!!2455221099-0-lubanu-s.jpg,好利来 生日 幸运盒 玫瑰慕斯鲜果夹心 双莓慕斯 限北京,	588583642510,,269,369,269.0,369.0,100.00%,6,0,0,26,933,0.01%,8034,0.04%,288297,456,163,0,,,,假一赔四|破损包退|极速退款|不支持7天退换|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,新鲜蛋糕/低温糕点/短保烘焙,新鲜蛋糕/低温糕点/短保烘焙,,,2021-05-26,09:21:20,18时46分3秒,三,http://item.taobao.com/item.htm?id=588583642510,https://kandianbao.com/item/588583642510/,不是很甜(2);品质如一(2);很好吃(7)
12,https://img.alicdn.com/imgextra/i1/2455221099/O1CN01REb3rx1JzNthBlOtl_!!2455221099-0-lubanu-s.jpg,好利来生日蛋糕预订-福寿盈门-酸奶提子口味,	565249342741,,399,699,399.0,699.0,100.00%,3,0,0,27,1497,0.01%,14013,0.07%,776943,1328,89,0,,,,假一赔四|破损包退|极速退款|不支持7天退换|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,新鲜蛋糕/低温糕点/短保烘焙,新鲜蛋糕/低温糕点/短保烘焙,,,2021-06-01,10:29:11,6天19时53分54秒,二,http://item.taobao.com/item.htm?id=565249342741,https://kandianbao.com/item/565249342741/,造型很好(3);送货很及时(3);物美价廉(3);商家服务好(3);妈咪特别欢喜(5);口味淡甜(3)
13,https://img.alicdn.com/imgextra/i4/2455221099/O1CN01HJtThE1JzNtiIzylD_!!2455221099-0-lubanu-s.jpg,好利来生日蛋糕订购-春满花开-玫瑰慕斯鲜果夹心 限北京上海南京,	588442397828,,339,399,339.0,399.0,100.00%,6,0,0,28,696,0.01%,10164,0.05%,252648,378,136,0,,,,假一赔四|破损包退|极速退款|不支持7天退换|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,新鲜蛋糕/低温糕点/短保烘焙,新鲜蛋糕/低温糕点/短保烘焙,,,2021-05-26,21:40:31,1天7时5分14秒,三,http://item.taobao.com/item.htm?id=588442397828,https://kandianbao.com/item/588442397828/,很好吃(18);很好看(5);不腻(2);甜味合适(4);客服态度很好(4);很好老人(2)
