数据下载时间：2021-05-27 12:26:23 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/挑挑小面旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i1/2892102719/O1CN01HmaXLk1VxLSAk8Y4F_!!0-item_pic.jpg,挑挑小面 涪陵开胃榨菜15g*15袋 重庆特产清淡咸菜佐餐小菜下饭菜,	600579499627,,12.9,12.9,12.99,12.99,99.31%,0,240,0,1,758,0.01%,12.9,0.00%,9778.2,74,150,0,,,掌柜推荐,不支持7天无理由|蚂蚁花呗|信用卡支付|集分宝,水产肉类/新鲜蔬果/熟食,腌制蔬菜/泡菜/酱菜/脱水蔬菜,腌制/榨菜/泡菜,,,2021-06-02,17:54:54,6天5时28分33秒,三,http://item.taobao.com/item.htm?id=600579499627,https://kandianbao.com/item/600579499627/, 
2,https://img.alicdn.com/imgextra/i1/2892102719/O1CN01cWe2OR1VxLVhwCKjl_!!2892102719.jpg,重庆下饭酱肉末豇豆210g*2瓶豆角拌饭酱农家酸豇豆拌面拌饭下饭菜,	631565974188,,39.9,39.9,79.9,79.9,49.94%,3,295,0,1,5,0.01%,39.9,0.01%,199.5,2,2,0,,,掌柜推荐,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,调味品/果酱/沙拉,酱类调料,,,2021-05-31,22:35:00,4天10时8分39秒,一,http://item.taobao.com/item.htm?id=631565974188,https://kandianbao.com/item/631565974188/, 
3,https://img.alicdn.com/imgextra/i1/2892102719/O1CN01y1gnFJ1VxLYXQAtK0_!!2892102719.jpg,螺狮粉自煮300g*3袋装方便速食米线广西特产螺蛳粉 柳州 正宗包邮,	626322635112,,26.8,26.8,36.8,36.8,72.83%,3,319,0,2,497,0.02%,53.6,0.01%,13319.6,446,203,0,,,每日必买,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,方便速食/速冻食品,方便粉丝/米线/螺蛳粉,,,2021-06-01,22:06:04,5天9时39分43秒,二,http://item.taobao.com/item.htm?id=626322635112,https://kandianbao.com/item/626322635112/,味道还不错(14);会回购(2);便宜多了(2)
4,https://img.alicdn.com/imgextra/i1/2892102719/O1CN01Ikw9HB1VxLVnF5y3p_!!0-item_pic.jpg,重庆肉末豇豆2瓶下饭菜拌面拌饭佐餐农家手工自制酸豆角泡菜咸菜,	621845793621,,39.9,39.9,39.9,39.9,100.00%,3,1460,0,3,109,0.03%,119.69999999999999,0.02%,4349.099999999999,22,25,0,,,,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,调味品/果酱/沙拉,辣椒酱,,,2021-06-01,11:12:22,4天22时46分1秒,二,http://item.taobao.com/item.htm?id=621845793621,https://kandianbao.com/item/621845793621/, 
5,https://img.alicdn.com/imgextra/i1/2892102719/O1CN01sK0KCD1VxLVmSBIfj_!!0-item_pic.jpg,重庆烧辣椒酱2瓶下饭菜香辣自制手工拌面青辣椒四川农家凉拌鲜椒,	622121810414,,39.9,39.9,39.9,39.9,100.00%,3,1494,0,3,61,0.03%,119.69999999999999,0.02%,2433.9,12,14,0,,,,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,调味品/果酱/沙拉,辣椒酱,,,2021-06-01,11:12:22,4天22时46分1秒,二,http://item.taobao.com/item.htm?id=622121810414,https://kandianbao.com/item/622121810414/, 
6,https://img.alicdn.com/imgextra/i2/2892102719/O1CN01qTsdbu1VxLa9uZtFH_!!2892102719.jpg,液体红糖桶装3kg商用浓缩冰汤圆糖浆糍粑凉糕网红玫瑰冰粉伴侣液,	644564276859,,49.8,49.8,59.9,59.9,83.14%,0,495,0,5,5,0.04%,249,0.04%,249,2,0,0,,,掌柜推荐,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,调味品/果酱/沙拉,食糖,,,2021-05-27,16:35:12,4时8分51秒,四,http://item.taobao.com/item.htm?id=644564276859,https://kandianbao.com/item/644564276859/, 
7,https://img.alicdn.com/imgextra/i3/2892102719/O1CN014LSBKp1VxLaAZXBa4_!!2892102719.jpg,果冻粉食用粉家用自制白凉粉冰粉儿童diy果冻专用粉无仙草粉模具,	641370581542,,12.8,12.8,24.8,24.8,51.61%,3,265,0,13,31,0.11%,166.4,0.03%,396.8,16,5,0,,,新品上新,7天无理由|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,食补粉粉,天然粉粉食品,,,2021-06-02,23:30:00,6天11时3分39秒,三,http://item.taobao.com/item.htm?id=641370581542,https://kandianbao.com/item/641370581542/, 
8,https://img.alicdn.com/imgextra/i4/2892102719/O1CN01FHEGlB1VxLYs2fhC2_!!2892102719.jpg,热巴网红美食新疆炒米粉酱香地道拌爆辣特产310g*3袋方便速食零食,	635181137906,,39.8,39.8,59.8,59.8,66.56%,1,358,0,13,1137,0.11%,517.4,0.09%,45252.6,872,384,0,,,每日必买,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,方便速食/速冻食品,方便面/拉面/面皮,,,2021-05-30,11:15:23,2天22时49分2秒,日,http://item.taobao.com/item.htm?id=635181137906,https://kandianbao.com/item/635181137906/,日期很近(5);干净卫生(2);清香(2);料很绝(12);辣度刚刚好(15);味道非常郑重(8)
9,https://img.alicdn.com/imgextra/i1/2892102719/O1CN017Zvs4i1VxLVnEtsnd_!!0-item_pic.jpg,重庆辣椒酱2瓶下饭剁椒香辣自制手工拌面彩椒凉拌鲜辣椒四川特产,	621541724844,,18.8,39.9,18.8,39.9,100.00%,7,3312,0,15,487,0.13%,408.6,0.07%,13265.880000000001,232,128,0,,,每日必买,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,调味品/果酱/沙拉,辣椒酱,,,2021-06-01,11:12:22,4天22时46分1秒,二,http://item.taobao.com/item.htm?id=621541724844,https://kandianbao.com/item/621541724844/,适合下饭(5);很好吃(8)
10,https://img.alicdn.com/imgextra/i1/2892102719/O1CN01gqqp281VxLXA9EtEH_!!2892102719.jpg,重庆蒜蓉辣椒酱下饭酱湖南香辣麻辣剁椒拌饭酱四川农家自制下饭菜,	629797024215,,44.9,44.9,88.8,88.8,50.56%,6,1052,0,16,147,0.14%,718.4,0.12%,6600.3,68,47,0,,,每日必买,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,调味品/果酱/沙拉,辣椒酱,,,2021-05-28,23:00:00,1天10时33分39秒,五,http://item.taobao.com/item.htm?id=629797024215,https://kandianbao.com/item/629797024215/, 
