数据下载时间：2021-05-26 09:54:15 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/旺旺食品旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i3/1588913126/O1CN01SRZAY41YxklZBwMyw_!!0-item_pic.jpg,【直播间专享】旺旺哎呦Q米面螺蛳粉酸辣方便面速食泡面饱腹组合,	630114716432,,99.9,99.9,99.9,99.9,100.00%,3,326,0,0,414,0,0,0,41358.600000000006,430,106,0,,,,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,糖果零食/果冻/布丁,糖果,,,2021-05-28,11:27:27,2天1时33分20秒,五,http://item.taobao.com/item.htm?id=630114716432,https://kandianbao.com/item/630114716432/,很好吃(8);价位能接受(2)
2,https://img.alicdn.com/imgextra/i1/1588913126/O1CN01D0B0Uj1YxkjcKyAQP_!!0-item_pic.jpg,旺旺 椰Q冻125g*6休闲零食糖果吸吸果冻零食小吃网红 办公室零食,	627323564011,,33.0,33.0,45,45,73.33%,3,330,8,1,978,0.00%,33,0.00%,32274,604,171,0,,,活动中,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,糖果零食/果冻/布丁,果冻/布丁,,,2021-06-01,11:18:24,6天1时24分17秒,二,http://item.taobao.com/item.htm?id=627323564011,https://kandianbao.com/item/627323564011/,很好吃(11);分量可以(2);包装特别严实(4);漏了(2)
3,https://img.alicdn.com/imgextra/i1/1588913126/O1CN01mrIGdS1Yxki5DWbSb_!!0-item_pic.jpg,【手猫专享】旺旺 旺仔乳酸菌饮品整箱儿童早餐饮品清爽125ml*20,	618941768540,,52.0,52.0,55,55,94.55%,2,1048,0,1,1069,0.00%,52,0.00%,55588,274,156,0,,,促销价,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,乳制品,含乳饮料,,,2021-05-26,11:31:47,1时37分40秒,三,http://item.taobao.com/item.htm?id=618941768540,https://kandianbao.com/item/618941768540/,包装非常仔细(4);超级喜欢喝(4)
4,https://img.alicdn.com/imgextra/i1/1588913126/O1CN01HFioDL1YxkiaHByyu_!!0-item_pic.jpg,旺旺Mr.Hot辣人Q米面地狱辣拌面速食 盒装80g*5组合装鬼椒面 特辣,	624607854452,,56.0,56.0,60,60,93.33%,1,549,0,1,1484,0.00%,56,0.00%,83104,720,279,0,,,促销价,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,方便速食/速冻食品,方便面/拉面/面皮,,,2021-06-01,11:16:14,6天1时22分7秒,二,http://item.taobao.com/item.htm?id=624607854452,https://kandianbao.com/item/624607854452/,很辣(12);很好吃(11);包装很好(2);物流挺快(3);商家服务好(2);不好吃(13)
5,https://img.alicdn.com/imgextra/i1/1588913126/O1CN01qRpyEZ1YxkibaHbdp_!!1588913126-0-lubanu-s.jpg,旺旺贝比玛玛婴幼儿营养米粉宝宝辅食米粉 婴儿米粉便携225g*3盒,	625187317517,,129.0,129.0,258,258,50.00%,1,218,0,1,46,0.00%,129,0.00%,5934,36,6,0,,,促销价,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,奶粉/辅食/营养品/零食,宝宝辅食,米粉/米糊/汤粥,,,2021-05-27,14:31:23,1天4时37分16秒,四,http://item.taobao.com/item.htm?id=625187317517,https://kandianbao.com/item/625187317517/, 
6,https://img.alicdn.com/imgextra/i4/1588913126/O1CN01p7YqW41YxkhbxGPAN_!!0-item_pic.jpg,旺仔儿童系列饼干60g*5小熊饼动物家族饼干营养休闲零食小包装*,	618424999259,,45.0,45.0,75,75,60.00%,6,327,0,2,852,0.00%,90,0.00%,38340,1834,163,0,,,促销价,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,饼干/膨化,酥性饼干,,,2021-05-30,18:13:20,4天8时19分13秒,日,http://item.taobao.com/item.htm?id=618424999259,https://kandianbao.com/item/618424999259/, 
7,https://img.alicdn.com/imgextra/i3/1588913126/O1CN01VKwmZx1YxkldgLT41_!!0-item_pic.jpg,旺旺fixxbody原味海苔袋装海味即食藻类办公室休闲零食小吃6g*5,	640242455732,,49,49,59,59,83.05%,0,94,0,3,35,0.00%,147,0.00%,1715,24,7,0,,,促销价,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,鱿鱼丝/鱼干/海味即食,海苔系列,,,2021-05-26,18:54:42,9时0分35秒,三,http://item.taobao.com/item.htm?id=640242455732,https://kandianbao.com/item/640242455732/, 
8,https://img.alicdn.com/imgextra/i4/1588913126/O1CN01oz0Wos1YxkkyBHIvl_!!0-item_pic.jpg,旺旺旺仔牛奶125ml*24兑换卡 每次可兑1提 共可兑换6次,	636417541466,,315.0,315.0,315.0,315.0,100.00%,1,81,0,3,26,0.00%,945,0.01%,8190,6,5,0,,,,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,兑换卡,乳制品兑换卡,乳制品兑换卡,,,2021-05-30,10:31:43,4天37分36秒,日,http://item.taobao.com/item.htm?id=636417541466,https://kandianbao.com/item/636417541466/, 
9,https://img.alicdn.com/imgextra/i1/1588913126/O1CN01noV9fh1Yxkj3oPLIK_!!1588913126-0-lubanu-s.jpg,【手猫专享】旺旺风情饼牛奶味巧克力夹心饼干小吃 休闲食品55g*6,	625752509165,,32.8,32.8,45,45,72.89%,3,1233,0,4,175,0.00%,131.2,0.00%,5739.999999999999,114,41,0,,,促销价,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,饼干/膨化,夹心饼干,,,2021-05-27,14:14:25,1天4时20分18秒,四,http://item.taobao.com/item.htm?id=625752509165,https://kandianbao.com/item/625752509165/, 
10,https://img.alicdn.com/imgextra/i4/1588913126/O1CN01OBtpP01YxkmUVLCSE_!!0-item_pic.jpg,旺旺旺仔冻痴85ml*4+吸吸冰80ml*4+碎碎冰综合口味78ml*8,	645996367922,,38.0,38.0,38.0,38.0,100.00%,6,2996,8,4,4,0.00%,152,0.00%,152,2,0,0,,,,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,乳制品,含乳饮料,,,2021-06-01,18:16:09,6天8时22分2秒,二,http://item.taobao.com/item.htm?id=645996367922,https://kandianbao.com/item/645996367922/, 
11,https://img.alicdn.com/imgextra/i2/1588913126/O1CN01iirycF1YxkjhWwLqH_!!0-item_pic.jpg,旺旺 梦梦水风味饮料低糖0脂肪低糖水饮100ml*2#,	627868081098,,29.8,29.8,70,70,42.57%,1,236,8,5,63,0.00%,149,0.00%,1877.4,38,4,0,,,心动价,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,果味/风味饮料,,,2021-05-27,10:29:10,1天35分3秒,四,http://item.taobao.com/item.htm?id=627868081098,https://kandianbao.com/item/627868081098/, 
12,https://img.alicdn.com/imgextra/i4/1588913126/O1CN019Lgm1T1YxkiZqbKo1_!!0-item_pic.jpg,旺旺贝比玛玛婴幼儿营养米粉宝宝辅食原味钙铁锌多维蔬菜225g单盒,	625759243765,,43.0,43.0,86,86,50.00%,3,251,0,5,39,0.00%,215,0.00%,1677,24,5,0,,,促销价,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,奶粉/辅食/营养品/零食,宝宝辅食,米粉/米糊/汤粥,,,2021-05-31,15:11:17,5天5时17分10秒,一,http://item.taobao.com/item.htm?id=625759243765,https://kandianbao.com/item/625759243765/, 
