数据下载时间：2021-05-27 10:15:55 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/欣善怡旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i2/2201313210774/O1CN01cDScat1HaXBtQi1TW_!!0-item_pic.jpg,Sanitarium欣善怡品牌专属兑换卡，可兑换3次/6次,	623692412499,,177.0,324.0,177.0,324.0,100.00%,2,1981,0,0,19,0,0,0,4480.2,0,5,0,,,淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,兑换卡,藕粉/麦片/冲饮兑换卡,藕粉/麦片/冲饮兑换卡,,,2021-05-26,10:45:18,23时30分28秒,三,http://item.taobao.com/item.htm?id=623692412499,https://kandianbao.com/item/623692412499/, 
2,https://img.alicdn.com/imgextra/i3/2201313210774/O1CN01rOwEG61HaXDDpCtFL_!!0-item_pic.jpg,Nutri-Brex欣善怡麦片坚果水果即食脆多多组合代餐饼干混合装澳洲,	622896853983,,118.0,118.0,240,240,49.17%,2,812,0,5,143,0.01%,590,0.03%,16874,108,26,0,,,优惠促销|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-06-01,10:30:39,5天14分48秒,二,http://item.taobao.com/item.htm?id=622896853983,https://kandianbao.com/item/622896853983/, 
3,https://img.alicdn.com/imgextra/i3/2201313210774/O1CN01ChXLIa1HaXDA23cxe_!!0-item_pic.jpg,欣善怡麦片低脂代餐高饱腹即食麦片原味375*3  脆多多*1套餐,	630699814410,,108.0,108.0,360,360,30.00%,2,5978,0,6,16,0.02%,648,0.03%,1728,18,3,0,,,优惠促销|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-06-01,14:50:54,5天4时35分3秒,二,http://item.taobao.com/item.htm?id=630699814410,https://kandianbao.com/item/630699814410/, 
4,https://img.alicdn.com/imgextra/i3/2201313210774/O1CN01iZGqWb1HaXEFKcdEo_!!0-item_pic.jpg,欣善怡水果麦片饼干早餐即食饱腹bites原味组合  375*3+bites*1,	630721300415,,108.0,108.0,480,480,22.50%,2,1662,0,6,21,0.02%,648,0.03%,2268,26,4,0,,,优惠促销|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-06-01,12:01:38,5天1时45分47秒,二,http://item.taobao.com/item.htm?id=630721300415,https://kandianbao.com/item/630721300415/, 
5,https://img.alicdn.com/imgextra/i4/2201313210774/O1CN01M6yvS71HaXBJrPZkF_!!0-item_pic.jpg,欣善怡专享购物金+全店通用150元抵155元 350抵385元 600抵660,	627967889811,,150.0,600.0,150.0,600.0,100.00%,3,2940,0,7,60,0.02%,2310,0.11%,19800,8,0,0,,,淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,购物金,食品购物金,咖啡/麦片/冲饮购物金,,,2021-05-28,14:16:36,1天4时0分45秒,五,http://item.taobao.com/item.htm?id=627967889811,https://kandianbao.com/item/627967889811/, 
6,https://img.alicdn.com/imgextra/i1/2201313210774/O1CN01UvP1uh1HaXDZwiAnr_!!0-item_pic.jpg,Nutri-Brex欣善怡谷物麦片冲饮食品weet-bix即食早餐1.12kg,	596126638197,,55.9,55.9,200,200,27.95%,1,815,0,14,725,0.04%,782.6,0.04%,40527.5,704,106,0,,,优惠促销|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-05-29,15:26:06,2天5时10分15秒,六,http://item.taobao.com/item.htm?id=596126638197,https://kandianbao.com/item/596126638197/,日期新鲜(2);超级合算(2)
7,https://img.alicdn.com/imgextra/i1/2201313210774/O1CN01iJhUG61HaXDgtt18L_!!0-item_pic.jpg,Nutri-Brex欣善怡谷物麦片weet-bix即食早餐575g*2,	596302263625,,69.9,69.9,360,360,19.42%,1,937,0,23,140,0.06%,1607.7,0.07%,9786,50,24,0,,,优惠促销|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-05-31,10:47:52,4天32分1秒,一,http://item.taobao.com/item.htm?id=596302263625,https://kandianbao.com/item/596302263625/, 
8,https://img.alicdn.com/imgextra/i1/2201313210774/O1CN01hxgxMj1HaXDgu6e7S_!!0-item_pic.jpg,Nutri-Brex欣善怡麦片蜂蜜味水果组合代餐饼干即食混合装零食澳洲,	604064606268,,118.0,118.0,400,400,29.50%,2,452,0,23,1204,0.06%,2714,0.12%,142072,466,248,0,,,优惠促销|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-06-01,10:30:39,5天14分48秒,二,http://item.taobao.com/item.htm?id=604064606268,https://kandianbao.com/item/604064606268/,口感更丰富(4)
9,https://img.alicdn.com/imgextra/i1/2201313210774/O1CN01WkdHp71HaXDCesl5H_!!0-item_pic.jpg,"欣善怡脆多多light'n'tasty夏威夷坚果即食燕麦片新西兰进口代餐",	624869008162,,79.0,79.0,160,160,49.38%,1,146,0,25,177,0.07%,1975,0.09%,13983,144,31,0,,,优惠促销|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-05-31,10:48:01,4天32分10秒,一,http://item.taobao.com/item.htm?id=624869008162,https://kandianbao.com/item/624869008162/, 
10,https://img.alicdn.com/imgextra/i1/2201313210774/O1CN01dHGLNv1HaXDg0KcPO_!!0-item_pic.jpg,Nutri-Brex欣善怡低脂麦片weet-bix即食代餐冲饮早餐1.12kg*2,	595948305032,,99.0,99.0,400,400,24.75%,1,533,0,26,1237,0.07%,2574,0.12%,122463,532,214,0,,,优惠促销|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-06-01,16:20:30,5天6时4分39秒,二,http://item.taobao.com/item.htm?id=595948305032,https://kandianbao.com/item/595948305032/,运输很好(3);味道很不错(2);继续回购(2);很有营养(2)
