数据下载时间：2021-05-26 11:12:56 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/玩铁猩猩旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i1/4058337907/O1CN013LNeLO28HSN4R9bXI_!!4058337907-0-picasso.jpg,【玩铁猩猩×元气森林联名礼盒】618预售 限量版联名小黄盒,	631374230154,,89,89,299,299,29.77%,0,553,0,4,283,0.01%,356,0.01%,25187,174,196,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,水产肉类/新鲜蔬果/熟食,生肉/肉制品,鸡胸,,,2021-05-26,11:00:03,12分13秒,三,http://item.taobao.com/item.htm?id=631374230154,https://kandianbao.com/item/631374230154/,适合送人(3);种类比较繁多(2);很大个(5);赠品很好(2);很好吃(66);好看(19)
2,https://img.alicdn.com/imgextra/i1/4058337907/O1CN01Uqg7gp28HSN8P6JTA_!!4058337907-0-picasso.jpg,【玩铁猩猩×618预售】小燃盒3日餐代餐饱腹即食减低脂鸡胸肉,	624613672541,,149,149,369,369,40.38%,0,5982,0,18,726,0.03%,2682,0.08%,108174,732,163,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,水产肉类/新鲜蔬果/熟食,生肉/肉制品,鸡胸,,,2021-05-31,09:49:49,4天22时36分58秒,一,http://item.taobao.com/item.htm?id=624613672541,https://kandianbao.com/item/624613672541/,味道不错(12);物流很快(2);很方便(2);客服态度很好(3);包装很棒(6)
3,https://img.alicdn.com/imgextra/i1/4058337907/O1CN01MGcsCd28HSNE5YvLV_!!4058337907-0-picasso.jpg,【玩铁猩猩×618预售】鳕鱼皮脆4袋海苔鸡肉脆4袋装解馋低脂零食,	643728984728,,78,78,189,189,41.27%,0,161,0,39,39,0.05%,3042,0.09%,3042,18,9,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,鱿鱼丝/鱼干/海味即食,即食鱼零食,,,2021-06-01,12:00:58,6天48分7秒,二,http://item.taobao.com/item.htm?id=643728984728,https://kandianbao.com/item/643728984728/, 
4,https://img.alicdn.com/imgextra/i1/4058337907/O1CN01BjNIsW28HSJinH5QQ_!!0-item_pic.jpg,【专区99元任选6件】玩铁猩猩 0卡糖1袋,	621889263219,,29.9,29.9,29.90,29.90,100.00%,0,49954,5,40,477,0.06%,1196,0.03%,14262.3,104,68,0,,,,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,调味品/果酱/沙拉,酱类调料,,,2021-05-28,16:25:17,2天5时12分26秒,五,http://item.taobao.com/item.htm?id=621889263219,https://kandianbao.com/item/621889263219/, 
5,https://img.alicdn.com/imgextra/i1/4058337907/O1CN01XUVjic28HSN6NU7KZ_!!4058337907-0-picasso.jpg,【玩铁猩猩×618预售】 鹰嘴豆即食20袋装 五香口味解馋低脂零食,	643877764890,,78,78,189,189,41.27%,0,154,0,46,44,0.06%,3588,0.10%,3432,14,7,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,山核桃/坚果/炒货,豆类制品,,,2021-05-26,13:19:29,2时6分38秒,三,http://item.taobao.com/item.htm?id=643877764890,https://kandianbao.com/item/643877764890/, 
6,https://img.alicdn.com/imgextra/i1/4058337907/O1CN014dnON328HSNE5VQyH_!!4058337907-0-picasso.jpg,玩铁猩猩 20袋鸡胸肉丸健身即食速食代餐轻食减解馋低脂卡小零食,	627092432436,,55,55,99,99,55.56%,0,9943,0,56,1406,0.08%,3080,0.09%,77330,1018,393,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,水产肉类/新鲜蔬果/熟食,生肉/肉制品,鸡胸,,,2021-05-28,14:14:05,2天3时1分14秒,五,http://item.taobao.com/item.htm?id=627092432436,https://kandianbao.com/item/627092432436/,很适合减肥(2);很好吃(50);多次回购(8);很有嚼劲(4);质量好(6);不好吃(6)
7,https://img.alicdn.com/imgextra/i1/4058337907/O1CN01m0PBYF28HSJq0XvKK_!!0-item_pic.jpg,【专区99元任选6件】玩铁猩猩玉米粒3袋装,	624280579823,,29.9,29.9,29.90,29.90,100.00%,0,9910,5,94,1028,0.13%,2810.6,0.08%,30737.199999999997,110,164,0,,,,7天无理由|蚂蚁花呗|信用卡支付|集分宝,水产肉类/新鲜蔬果/熟食,生肉/肉制品,鸡胸,,,2021-05-31,17:14:11,5天6时1分20秒,一,http://item.taobao.com/item.htm?id=624280579823,https://kandianbao.com/item/624280579823/, 
8,https://img.alicdn.com/imgextra/i1/4058337907/O1CN01obTJKx28HSJkWJ7lg_!!0-item_pic.jpg,【专区99元任选6件】玩铁猩猩 麦麸饼干1盒,	621346353201,,29.9,29.9,29.90,29.90,100.00%,0,4893,0,102,1150,0.14%,3049.7999999999997,0.09%,34385,116,124,0,,,,7天无理由|蚂蚁花呗|信用卡支付|集分宝,水产肉类/新鲜蔬果/熟食,生肉/肉制品,鸡胸,,,2021-05-26,16:41:31,5时28分40秒,三,http://item.taobao.com/item.htm?id=621346353201,https://kandianbao.com/item/621346353201/, 
9,https://img.alicdn.com/imgextra/i4/4058337907/O1CN01CoVBe728HSMUcgDJe_!!0-item_pic.jpg,【购物金】玩铁猩猩旗舰店 充值购物享折上折全店通用,	619407054964,,300.0,800.0,300.0,800.0,100.00%,3,59871,0,122,1951,0.17%,61000,1.71%,975500,40,0,0,,,,7天无理由|蚂蚁花呗|信用卡支付|集分宝,购物金,生鲜购物金,水产肉类/蔬果/熟食购物金,,,2021-05-26,11:27:31,14分40秒,三,http://item.taobao.com/item.htm?id=619407054964,https://kandianbao.com/item/619407054964/, 
10,https://img.alicdn.com/imgextra/i1/4058337907/O1CN01dQU8gO28HSJiN14ag_!!0-item_pic.jpg,【专区99元任选6件】玩铁猩猩 糙米饭1袋装,	621625458627,,29.9,29.9,29.90,29.90,100.00%,0,4863,5,126,1212,0.18%,3767.3999999999996,0.11%,36238.799999999996,164,128,0,,,,7天无理由|蚂蚁花呗|信用卡支付|集分宝,水产肉类/新鲜蔬果/熟食,生肉/肉制品,鸡胸,,,2021-05-28,13:44:56,2天2时32分5秒,五,http://item.taobao.com/item.htm?id=621625458627,https://kandianbao.com/item/621625458627/,很好吃(5);回购好多次(2);价位合适(2)
