数据下载时间：2021-05-26 09:32:00 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/老街口旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i4/2258229509/O1CN01y0xMxq2K7AqIqLFW9_!!0-item_pic.jpg,老街口 火锅味瓜子108g 葵花籽坚果炒货零食小包装,	636001622417,,19.9,19.9,29,29,68.62%,1,439,5,0,9,0,0,0,179.1,42,286,0,,,专属优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,山核桃/坚果/炒货,瓜子,,,2021-05-28,18:00:05,2天8时28分15秒,五,http://item.taobao.com/item.htm?id=636001622417,https://kandianbao.com/item/636001622417/,量足(2);口感非常好(29);很新鲜(3);保质期长(2);物超所值(3);不好吃(8)
2,https://img.alicdn.com/imgextra/i4/2258229509/O1CN01TPzJi52K7As2YFEuf_!!0-item_pic.jpg,老街口原味花生酥150g*3袋传统零食小吃特产手工糕点心酥糖小包装,	645013764235,,29.9,29.9,59.9,59.9,49.92%,1,10000,0,0,0,0,0,0,0,0,0,0,,,专属优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,糕点/点心,传统糕点,,,2021-06-01,13:29:20,6天3时57分30秒,二,http://item.taobao.com/item.htm?id=645013764235,https://kandianbao.com/item/645013764235/, 
3,https://img.alicdn.com/imgextra/i1/2258229509/O1CN01Y1vyyH2K7An0uIZlT_!!2258229509-0-lubanu-s.jpg,老街口话梅味西瓜子200gx5袋 坚果炒货休闲零食小吃葵花籽袋装1,	618045373429,,36.9,36.9,78,78,47.31%,1,57187,0,0,1638,0,0,0,60442.2,442,242,0,,,专属优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,山核桃/坚果/炒货,瓜子,,,2021-05-28,09:27:23,1天23时55分33秒,五,http://item.taobao.com/item.htm?id=618045373429,https://kandianbao.com/item/618045373429/,非常给力价格(2);质量没话说(2);味道不错(8);包装精致(2);发货超级快(3);不好吃(6)
4,https://img.alicdn.com/imgextra/i2/2258229509/O1CN01FsWKoj2K7ArtERwDN_!!0-item_pic.jpg,老街口 焦糖/山核桃味瓜子自选组合葵花籽坚果炒货零食品特产批发,	644733654897,,57.9,69.9,199,199,35.13%,4,40,0,0,0,0,0,0,0,0,0,0,,,优惠活动,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,山核桃/坚果/炒货,瓜子,,,2021-05-31,11:41:53,5天2时10分3秒,一,http://item.taobao.com/item.htm?id=644733654897,https://kandianbao.com/item/644733654897/, 
5,https://img.alicdn.com/imgextra/i1/2258229509/O1CN01yBurlP2K7Ar1nzVs4_!!0-item_pic.jpg,老街口焦糖山核桃味瓜子500gx5袋坚果零食炒货葵花籽,	640215847623,,59.9,59.9,240,240,24.96%,1,176,0,0,23,0,0,0,1377.7,4,4,0,,,专属优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,山核桃/坚果/炒货,瓜子,,,2021-05-26,15:29:41,5时57分51秒,三,http://item.taobao.com/item.htm?id=640215847623,https://kandianbao.com/item/640215847623/, 
6,https://img.alicdn.com/imgextra/i1/2258229509/O1CN01AWneZj2K7ArvQJdPa_!!0-item_pic.jpg,老街口-琥珀核桃仁400g罐装整仁大颗蜂蜜纸皮核桃坚果零食小吃,	644734102703,,59.9,59.9,69.9,69.9,85.69%,1,500,0,0,0,0,0,0,0,2,0,0,,,专属优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,山核桃/坚果/炒货,核桃仁,,,2021-05-31,13:43:02,5天4时11分12秒,一,http://item.taobao.com/item.htm?id=644734102703,https://kandianbao.com/item/644734102703/, 
7,https://img.alicdn.com/imgextra/i1/2258229509/O1CN01l7YQht2K7ArwrodPX_!!0-item_pic.jpg,老街口香甜芒果干500g蜜饯果干特产休闲小吃网红零食芒果片水果干,	644734694954,,59.9,59.9,69.9,69.9,85.69%,1,500,0,0,0,0,0,0,0,2,0,0,,,优惠活动,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,蜜饯/枣类/梅/果干/冻干,芒果干,,,2021-05-31,14:53:20,5天5时21分30秒,一,http://item.taobao.com/item.htm?id=644734694954,https://kandianbao.com/item/644734694954/, 
8,https://img.alicdn.com/imgextra/i1/2258229509/O1CN01iu8XSc2K7ArvCFULz_!!0-item_pic.jpg,老街口红糖芝麻麻花500g*2袋 金华特产传统手工糕点零食点心袋装,	644780658705,,59.9,59.9,69.9,69.9,85.69%,1,500,0,0,0,0,0,0,0,0,0,0,,,优惠活动,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,糕点/点心,传统糕点,,,2021-05-31,13:53:55,5天4时22分5秒,一,http://item.taobao.com/item.htm?id=644780658705,https://kandianbao.com/item/644780658705/, 
9,https://img.alicdn.com/imgextra/i4/TB1jBXJHpXXXXXCapXXXXXXXXXX_!!0-item_pic.jpg,老街口-新疆灰枣 红枣大枣子 新疆灰枣 玉枣500g,	42526786678,,68,68,68.00,68.00,100.00%,0,19926,0,0,73,0,0,0,4964,4,0,0,,,,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,蜜饯/枣类/梅/果干/冻干,枣类制品,,,2021-05-27,16:30:28,1天6时58分38秒,四,http://item.taobao.com/item.htm?id=42526786678,https://kandianbao.com/item/42526786678/, 
10,https://img.alicdn.com/imgextra/i4/2258229509/O1CN01zgWQMR2K7ArrPb6zZ_!!0-item_pic.jpg,老街口红糖酥饼500g*2桶装梅干菜肉金华黄山烧饼特产小吃,	644426753707,,69.9,69.9,118,118,59.24%,1,500,0,0,0,0,0,0,0,2,0,0,,,优惠活动,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,糕点/点心,传统糕点,,,2021-05-31,14:23:24,5天4时51分34秒,一,http://item.taobao.com/item.htm?id=644426753707,https://kandianbao.com/item/644426753707/, 
