数据下载时间：2021-05-25 14:25:03 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/老金磨方旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i2/705235443/O1CN015fx6fh1q4wOounPux_!!705235443-0-lubanu-s.jpg,老金磨方酸奶果粒烘培燕麦片100g 早餐即食水果坚果燕麦片代餐,	605616300423,,40,40,80,80,50.00%,0,2000,0,0,134,0,0,0,5360,1086,1154,0,,,热卖促销,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-05-31,15:13:07,6天48分20秒,一,http://item.taobao.com/item.htm?id=605616300423,https://kandianbao.com/item/605616300423/,包装一样(15);干吃好吃(6);便宜(15);果粒挺多(3);很好吃(101);不好吃(9)
2,https://img.alicdn.com/imgextra/i1/705235443/O1CN01m53RFN1q4wSpYXEoQ_!!705235443-0-lubanu-s.jpg,老金磨方酸奶果粒烘焙麦片水果坚果燕麦片袋装即食冲饮经典味,	645017968137,,44.9,44.9,99,99,45.35%,1,500,0,0,0,0,0,0,0,0,0,0,,,热卖促销,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-06-01,10:51:03,6天20时26分16秒,二,http://item.taobao.com/item.htm?id=645017968137,https://kandianbao.com/item/645017968137/, 
3,https://img.alicdn.com/imgextra/i3/705235443/O1CN01j7GzcG1q4wSNGztdf_!!0-item_pic.jpg,老金磨方红豆薏米芡实茶甘草茯苓茶薏仁赤小豆调理花茶大麦茶包,	640475816083,,59.9,59.9,88,88,68.07%,0,598,0,0,7,0,0,0,419.3,2,0,0,,,节日促销,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,传统滋补营养品,养生茶,养生茶,,,2021-05-29,14:00:00,3天23时35分13秒,六,http://item.taobao.com/item.htm?id=640475816083,https://kandianbao.com/item/640475816083/, 
4,https://img.alicdn.com/imgextra/i1/705235443/O1CN01zy4L2t1q4wSFBEFBt_!!0-item_pic.jpg,老金磨方红豆薏米芡实茶甘草茯苓茶薏仁赤小豆调理花茶大麦茶包,	640850273353,,59.9,59.9,99,99,60.51%,0,2000,0,0,4,0,0,0,239.6,6,0,0,,,节日促销,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,传统滋补营养品,养生茶,养生茶,,,2021-05-27,16:37:25,2天2时12分38秒,四,http://item.taobao.com/item.htm?id=640850273353,https://kandianbao.com/item/640850273353/, 
5,https://img.alicdn.com/imgextra/i2/705235443/O1CN010bDvZ21q4wT5LvX8y_!!0-item_pic.jpg,【换购】老金磨方山药薏米芡实粉熟代餐粉薏仁粉五谷杂粮,	646111179185,,59.9,59.9,108,108,55.46%,0,100,0,0,0,0,0,0,0,0,0,0,,,热卖促销,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,食补粉粉,天然粉粉食品,,,2021-06-01,10:17:11,6天19时52分24秒,二,http://item.taobao.com/item.htm?id=646111179185,https://kandianbao.com/item/646111179185/, 
6,https://img.alicdn.com/imgextra/i1/705235443/O1CN01OnVUSO1q4wLZ9qyls_!!0-item_pic.jpg,老金磨方专属品牌兑换卡 多款商品任选兑换,	601967935926,,78.0,138.0,78.0,138.0,100.00%,2,3475,0,0,156,0,0,0,15912,20,30,0,,,,7天无理由|运费险|公益宝贝|蚂蚁花呗|信用卡支付|集分宝,兑换卡,茶类兑换卡,茶类兑换卡,,,2021-05-25,14:49:49,25分2秒,二,http://item.taobao.com/item.htm?id=601967935926,https://kandianbao.com/item/601967935926/, 
7,https://img.alicdn.com/imgextra/i2/705235443/O1CN019I2yAl1q4wT19mIbJ_!!705235443-2-lubanu-s.png,老金磨方 酸奶果粒烘焙麦片 经典味 可可味 紫薯味 缤纷酸奶麦片,	644869594364,,119.9,119.9,120,120,99.92%,1,5,0,0,0,0,0,0,0,8,0,0,,,热卖促销,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-05-29,13:14:49,3天22时50分2秒,六,http://item.taobao.com/item.htm?id=644869594364,https://kandianbao.com/item/644869594364/, 
8,https://img.alicdn.com/imgextra/i1/705235443/O1CN01uTT1x41q4wRq6mTNZ_!!705235443-0-lubanu-s.jpg,【会员专享】酸奶麦片300g,	638413601601,,59.9,59.9,59.9,59.9,100.00%,6,1975,0,1,74,0.00%,59.9,0.00%,4432.599999999999,14,13,0,,,,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-05-27,17:04:18,2天2时39分31秒,四,http://item.taobao.com/item.htm?id=638413601601,https://kandianbao.com/item/638413601601/, 
9,https://img.alicdn.com/imgextra/i3/705235443/O1CN01eVvuvE1q4wSY3uJu0_!!0-item_pic.jpg,老金磨方梨膏棒棒糖秋梨膏正宗儿童糖果可搭润喉零食宝宝健康糖,	642719502036,,129.0,129.0,129.0,129.0,100.00%,1,1000,0,1,20,0.00%,129,0.00%,2580,14,6,0,,,,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,传统滋补营养品,食疗滋补营养,滋补营养糖,,,2021-06-01,07:00:00,6天16时35分13秒,二,http://item.taobao.com/item.htm?id=642719502036,https://kandianbao.com/item/642719502036/, 
10,https://img.alicdn.com/imgextra/i1/705235443/O1CN01kYv3pu1q4wS9kkO0B_!!705235443-0-lubanu-s.jpg,【会员专享】酸奶果粒坚果烘焙燕麦片100g*3水果早餐代餐速食食品,	640237805289,,44.7,44.7,99,99,45.15%,1,480,0,2,20,0.00%,89.4,0.00%,894,8,3,0,,,新品促销,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-05-26,11:24:58,21时0分11秒,三,http://item.taobao.com/item.htm?id=640237805289,https://kandianbao.com/item/640237805289/, 
