数据下载时间：2021-05-27 11:06:28 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/老鲜生旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i1/1084887957/O1CN017SnGS428eMAwCBlO6_!!0-item_pic.jpg,老鲜生鱿鱼须500g麻辣即食零食小吃休闲食品铁板鱿鱼丝好吃的辣味,	644294260740,,10.0,10.0,99,99,10.10%,1,495,0,5,5,0.01%,50,0.00%,50,0,0,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,鱿鱼丝/鱼干/海味即食,即食鱿鱼零食,,,2021-05-31,12:01:59,4天55分34秒,一,http://item.taobao.com/item.htm?id=644294260740,https://kandianbao.com/item/644294260740/, 
2,https://img.alicdn.com/imgextra/i1/1084887957/O1CN0180i12H28eMAypv6K4_!!0-item_pic.jpg,老鲜生 鱿鱼丝包邮手撕大连特产 鱿鱼香辣鱿鱼条即食海鲜零食,	638308827720,,10.0,10.0,119,119,8.40%,1,142,0,10,55,0.01%,100,0.00%,550,20,13,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,鱿鱼丝/鱼干/海味即食,即食鱿鱼零食,,,2021-05-31,12:01:37,4天55分12秒,一,http://item.taobao.com/item.htm?id=638308827720,https://kandianbao.com/item/638308827720/, 
3,https://img.alicdn.com/imgextra/i3/1084887957/O1CN01MtQNsR28eMAotFP9k_!!0-item_pic.jpg,老鲜生海味零食大礼包764g组合包装年货干货零食礼盒海鲜小吃即食,	644348521710,,66.0,66.0,139.9,139.9,47.18%,1,370,0,26,31,0.03%,1716,0.08%,2046,4,2,0,,,优惠活动,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,鱿鱼丝/鱼干/海味即食,即食鱿鱼零食,,,2021-05-28,10:26:03,23时19分38秒,五,http://item.taobao.com/item.htm?id=644348521710,https://kandianbao.com/item/644348521710/, 
4,https://img.alicdn.com/imgextra/i4/1084887957/O1CN01PN8IXy28eM9aWTOxs_!!0-item_pic.jpg,老鲜生 咸蛋黄鱼皮50g 香脆即食网红零食小吃休闲食品港式鱼皮,	606817283410,,24.8,24.8,59,59,42.03%,3,21,0,35,15565,0.04%,868,0.04%,386012,2494,2777,0,,,优惠活动,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,鱿鱼丝/鱼干/海味即食,即食鱼零食,,,2021-05-29,09:48:19,1天22时41分54秒,六,http://item.taobao.com/item.htm?id=606817283410,https://kandianbao.com/item/606817283410/,脆脆的(13);很好吃(45);量足(7);会回购(6);小孩子挺喜欢(5);不好吃(14)
5,https://img.alicdn.com/imgextra/i2/1084887957/O1CN01wkdFK028eMAwBmmuq_!!0-item_pic.jpg,老鲜生鳕鱼片干烤鱼片小包装孕妇健康营养小鱼干海味零食即食海鲜,	637283588717,,10.0,10.0,159,159,6.29%,1,167,0,37,171,0.04%,370,0.02%,1710,52,40,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,鱿鱼丝/鱼干/海味即食,即食鱼零食,,,2021-05-31,12:01:49,4天55分24秒,一,http://item.taobao.com/item.htm?id=637283588717,https://kandianbao.com/item/637283588717/,封口不怕灰尘(2);回购好几次(2);小孩可以吃(2);很大个(2);很好吃(17);量足(3)
6,https://img.alicdn.com/imgextra/i4/1084887957/O1CN01n1IYEn28eM9gfrlsi_!!0-item_pic.jpg,老鲜生 大连特产海鲜零食即食小吃软烤手撕鱿鱼丝88gx3鱿鱼条包邮,	554246516138,,38.9,38.9,69,69,56.38%,4,3332,0,38,4924,0.04%,1478.2,0.07%,191543.6,734,314,0,,,优惠活动,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,鱿鱼丝/鱼干/海味即食,即食鱿鱼零食,,,2021-05-29,14:30:36,2天3时24分11秒,六,http://item.taobao.com/item.htm?id=554246516138,https://kandianbao.com/item/554246516138/,特别好吃(3)
7,https://img.alicdn.com/imgextra/i3/1084887957/O1CN01GEkr0528eMAu0O9Oo_!!0-item_pic.jpg,老鲜生即食鱿鱼丝58g散装干货条手撕海鲜海味零食小吃休闲食品,	644942031560,,19.8,19.8,39,39,50.77%,1,950,0,48,49,0.05%,950.4000000000001,0.04%,970.2,14,8,0,,,专属优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,鱿鱼丝/鱼干/海味即食,即食鱿鱼零食,,,2021-06-02,16:55:22,6天5时48分57秒,三,http://item.taobao.com/item.htm?id=644942031560,https://kandianbao.com/item/644942031560/, 
8,https://img.alicdn.com/imgextra/i4/1084887957/O1CN01pfFxTW28eM9eKxMEG_!!0-item_pic.jpg,老鲜生大连特产海鲜零食即食小吃手撕鱿鱼丝88g,	561610338514,,19.8,19.8,19.9,19.9,99.50%,3,2474,0,50,38772,0.05%,990,0.05%,767685.6,2604,4869,0,,,优惠多多,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,鱿鱼丝/鱼干/海味即食,即食鱿鱼零食,,,2021-05-28,17:44:52,1天6时38分27秒,五,http://item.taobao.com/item.htm?id=561610338514,https://kandianbao.com/item/561610338514/,超级实惠(3);干净卫生(2);口感非常好(23);多次回购(6);量足(4);很新鲜(3)
9,https://img.alicdn.com/imgextra/i4/1084887957/O1CN01SzH4jk28eMAljG2Xw_!!0-item_pic.jpg,老鲜生 虾片自己炸500g包邮网红油炸龙虾片零食小吃休闲食品怀旧,	610671100950,,11.9,11.9,29.9,29.9,39.80%,1,448,0,51,171,0.05%,606.9,0.03%,2034.9,44,26,0,,,专属优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,饼干/膨化,膨化食品,,,2021-05-29,11:46:25,2天40分0秒,六,http://item.taobao.com/item.htm?id=610671100950,https://kandianbao.com/item/610671100950/, 
10,https://img.alicdn.com/imgextra/i1/1084887957/O1CN01xGQ68128eMAGPQGnN_!!0-item_pic.jpg,老鲜生 压缩海带即食泡发海带丝下饭菜香辣海藻丝干货真空小包装,	627928899883,2,9.9,9.9,39.9,39.9,24.81%,1,516,0,90,3336,0.10%,891,0.04%,33026.4,444,327,0,,,新品尝鲜,不支持7天无理由|蚂蚁花呗|信用卡支付|集分宝,水产肉类/新鲜蔬果/熟食,海鲜/水产品/制品,海带,,,2021-06-01,21:11:54,5天10时5分29秒,二,http://item.taobao.com/item.htm?id=627928899883,https://kandianbao.com/item/627928899883/,重量严格遵守(4);没破损(2);口感非常好(18);非常干净(3);态度特别好(4);真的小(2)
