数据下载时间：2021-05-27 12:06:41 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/葵花药业保健食品旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i3/2208182004619/O1CN018eoQF41jzY6R5skmz_!!0-item_pic.jpg,小葵花维生素D滴剂儿童补充维生素d3官方正品宝宝幼儿vd3液体维d,	640781604317,,78.0,78.0,199,199,39.20%,1,1323,0,0,11,0,0,0,858,0,11,0,,,活动中,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,保健食品/膳食营养补充食品,普通膳食营养食品,维生素/复合维生素,,,2021-05-31,20:03:53,4天7时57分14秒,一,http://item.taobao.com/item.htm?id=640781604317,https://kandianbao.com/item/640781604317/, 
2,https://img.alicdn.com/imgextra/i3/2208182004619/O1CN01UqtAOk1jzY6ZX3RJ4_!!0-item_pic.jpg,葵花药业钙维生素D颗粒甜橙味葡萄糖酸钙碳酸钙VD儿童成长补钙维d,	644328014129,,29.9,59.8,59,99,60.40%,2,10158,0,4,4,0.03%,167.44,0.02%,167.44,8,0,0,,,活动中,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,保健食品/膳食营养补充食品,普通膳食营养食品,钙铁锌/钙镁,,,2021-05-29,16:34:17,2天4时27分38秒,六,http://item.taobao.com/item.htm?id=644328014129,https://kandianbao.com/item/644328014129/, 
3,https://img.alicdn.com/imgextra/i2/2208182004619/O1CN015Wb9TS1jzY6cvpgDj_!!0-item_pic.jpg,小葵花 儿童益生菌粉bb12 婴幼儿宝宝双歧杆菌益生元官方旗舰店,	642285632206,,79.0,299.0,159,579,51.64%,4,12166,0,4,10,0.03%,668.0000000000001,0.08%,1670.0000000000002,22,5,0,,,活动中,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,保健食品/膳食营养补充食品,普通膳食营养食品,益生菌,,,2021-06-01,17:23:15,5天5时16分36秒,二,http://item.taobao.com/item.htm?id=642285632206,https://kandianbao.com/item/642285632206/, 
4,https://img.alicdn.com/imgextra/i1/2208182004619/O1CN01xcJnui1jzY6SLkZDV_!!0-item_pic.jpg,葵花药业钙滴剂60ml补钙婴幼儿钙滴剂宝宝液体钙柠檬酸钙儿童钙,	641151669657,,118.0,118.0,299,299,39.46%,1,1751,0,4,18,0.03%,472,0.06%,2124,0,13,0,,,活动中,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,保健食品/膳食营养补充食品,普通膳食营养食品,钙铁锌/钙镁,,,2021-05-31,20:03:54,4天7时57分15秒,一,http://item.taobao.com/item.htm?id=641151669657,https://kandianbao.com/item/641151669657/, 
5,https://img.alicdn.com/imgextra/i2/2208182004619/O1CN01ThSOVa1jzY6SVEQSa_!!0-item_pic.jpg,小葵花维生素ad滴剂1岁以上婴幼儿宝宝VAVD补充儿童口服液体维D3,	641836631236,,78.0,78.0,199,199,39.20%,1,486,0,5,14,0.04%,390,0.05%,1092,4,10,0,,,活动中,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,保健食品/膳食营养补充食品,普通膳食营养食品,维生素/复合维生素,,,2021-05-31,20:03:52,4天7时57分13秒,一,http://item.taobao.com/item.htm?id=641836631236,https://kandianbao.com/item/641836631236/, 
6,https://img.alicdn.com/imgextra/i4/2208182004619/O1CN01MdAlkn1jzY3XAq31l_!!0-item_pic.jpg,充值200享220 葵花药业保健食品旗舰店购物金 全店通用 365天有效,	628927781760,,200.0,400.0,200.0,400.0,100.00%,2,945,0,5,55,0.04%,1400,0.18%,15400,2,0,0,,,,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,购物金,医疗保险购物金,保健食品/膳食营养购物金,,,2021-05-28,09:39:09,21时32分30秒,五,http://item.taobao.com/item.htm?id=628927781760,https://kandianbao.com/item/628927781760/, 
7,https://img.alicdn.com/imgextra/i1/2208182004619/O1CN01ra3JL61jzY6MimHCQ_!!0-item_pic.jpg,小葵花天天长高产品 青少年儿童高钙片碳酸钙补生长激素神器增高,	642651525844,,189.0,359.0,299,598,60.03%,2,7776,0,6,11,0.05%,1542,0.19%,2827,18,5,0,,,活动中,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,保健食品/膳食营养补充食品,普通膳食营养食品,钙铁锌/钙镁,,,2021-06-01,14:19:14,5天2时12分35秒,二,http://item.taobao.com/item.htm?id=642651525844,https://kandianbao.com/item/642651525844/, 
8,https://img.alicdn.com/imgextra/i3/2208182004619/O1CN012gL0Is1jzY6gdZnaz_!!0-item_pic.jpg,5瓶葵花药业维生素e软胶囊 维E胶囊护肤甘油ve涂脸油搭VC片正品,	642490499657,,129.9,129.9,520,520,24.98%,1,2426,0,7,17,0.06%,909.3000000000001,0.11%,2208.3,14,9,0,,,活动中,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,保健食品/膳食营养补充食品,普通膳食营养食品,维生素/复合维生素,,,2021-05-27,16:54:55,4时48分16秒,四,http://item.taobao.com/item.htm?id=642490499657,https://kandianbao.com/item/642490499657/, 
9,https://img.alicdn.com/imgextra/i2/2208182004619/O1CN01eb5XUg1jzY6UlTv92_!!0-item_pic.jpg,小葵花锌滴剂1岁以上婴幼儿宝宝补充锌儿童液体乳酸锌补锌正品,	641831127084,,78.0,78.0,199,199,39.20%,1,2862,0,10,25,0.08%,780,0.10%,1950,10,17,0,,,活动中,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,保健食品/膳食营养补充食品,普通膳食营养食品,锌/铁/硒,,,2021-05-31,20:03:53,4天7时57分14秒,一,http://item.taobao.com/item.htm?id=641831127084,https://kandianbao.com/item/641831127084/, 
10,https://img.alicdn.com/imgextra/i1/2208182004619/O1CN01lNFcZ61jzY5ZnAUHo_!!0-item_pic.jpg,葵花药业小葵花维生素AD软胶囊儿童维生素d3滴剂滴液VD补钙鱼肝油,	620601477839,,58.0,58.0,128,128,45.31%,1,40,0,11,1095,0.09%,638,0.08%,63510,230,81,0,,,活动中,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,保健食品/膳食营养补充食品,普通膳食营养食品,维生素/复合维生素,,,2021-05-27,13:34:49,1时28分10秒,四,http://item.taobao.com/item.htm?id=620601477839,https://kandianbao.com/item/620601477839/, 
