数据下载时间：2021-05-26 09:33:04 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/达利集团旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i4/2081502851/O1CN01R2ENix1WvnreFpyj6_!!0-item_pic.jpg,【预售】达利园手摇豆乳茶饮料元气桃桃蒸青奶绿480ml*15瓶整箱,	644961381836,,10.0,10.0,159,159,6.29%,3,600,0,0,0,0,0,0,0,0,0,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,茶饮料,,,2021-05-31,16:02:12,5天6时29分15秒,一,http://item.taobao.com/item.htm?id=644961381836,https://kandianbao.com/item/644961381836/, 
2,https://img.alicdn.com/imgextra/i3/2081502851/O1CN01Sie1xj1WvnrfCIha0_!!0-item_pic.jpg,【预售】王源推荐 豆本豆旗舰店 原味豆奶250ml*20盒植物蛋白饮品,	644961257465,,10.0,10.0,89,89,11.24%,1,301,0,1,1,0.00%,10,0.00%,10,2,0,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,植物蛋白饮料/植物奶/植物酸奶,,,2021-05-31,16:29:16,5天6时56分19秒,一,http://item.taobao.com/item.htm?id=644961257465,https://kandianbao.com/item/644961257465/, 
3,https://img.alicdn.com/imgextra/i4/2081502851/O1CN010tyFeW1WvnrZ9sH1q_!!0-item_pic.jpg,【预售】王源推荐 豆本豆 纯豆奶250ml*12盒不添加蔗糖植物奶营养,	645312542061,,10.0,10.0,109,109,9.17%,1,100,0,1,1,0.00%,10,0.00%,10,0,0,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,植物蛋白饮料/植物奶/植物酸奶,,,2021-06-01,19:05:40,6天9时32分43秒,二,http://item.taobao.com/item.htm?id=645312542061,https://kandianbao.com/item/645312542061/, 
4,https://img.alicdn.com/imgextra/i4/2081502851/O1CN01re4Sn41WvnrXBbjoP_!!2081502851.jpg,达利园花生牛奶牛轧糖味250ml*12盒整箱装牛奶复合蛋白饮料花生奶,	644610746363,,49.9,49.9,89,89,56.07%,1,98,0,1,2,0.00%,49.9,0.00%,99.8,4,0,0,,,优惠促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,乳制品,含乳饮料,,,2021-05-26,11:01:53,1时28分56秒,三,http://item.taobao.com/item.htm?id=644610746363,https://kandianbao.com/item/644610746363/, 
5,https://img.alicdn.com/imgextra/i4/2081502851/O1CN01Ffaw0P1WvnrcKJL22_!!0-item_pic.jpg,【618预售】豆本豆唯甄谷物豆奶250ml*24盒植物蛋白饮品整箱装,	645314934429,,10.0,10.0,99,99,10.10%,1,998,0,2,2,0.00%,20,0.00%,20,2,0,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,植物蛋白饮料/植物奶/植物酸奶,,,2021-05-31,14:12:57,5天4时40分0秒,一,http://item.taobao.com/item.htm?id=645314934429,https://kandianbao.com/item/645314934429/, 
6,https://img.alicdn.com/imgextra/i4/2081502851/O1CN01bfXZQ51WvnrdJUIw3_!!0-item_pic.jpg,【618预售】豆本豆唯甄红枣豆奶24瓶植物蛋白饮品代餐早餐奶整箱,	645315082197,,10.0,10.0,99,99,10.10%,1,998,0,2,2,0.00%,20,0.00%,20,2,0,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,植物蛋白饮料/植物奶/植物酸奶,,,2021-05-31,14:12:58,5天4时40分1秒,一,http://item.taobao.com/item.htm?id=645315082197,https://kandianbao.com/item/645315082197/, 
7,https://img.alicdn.com/imgextra/i1/2081502851/O1CN01NBM2aM1WvnrimBh9R_!!0-item_pic.jpg,【预售】达利园八宝粥黑米紫薯粥早餐速食粥桂圆莲子粥280g*12罐,	645312722880,,10.0,10.0,99,99,10.10%,2,399,0,3,3,0.00%,30,0.00%,30,2,0,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,其它饮品,其它饮品,,,2021-05-31,16:19:44,5天6时46分47秒,一,http://item.taobao.com/item.htm?id=645312722880,https://kandianbao.com/item/645312722880/, 
8,https://img.alicdn.com/imgextra/i1/2081502851/O1CN01YAah461WvnrbYvrph_!!0-item_pic.jpg,【预售】乐虎维生素功能饮料官方250ml*16罐整箱运动饮料补充能量,	644959477053,,10.0,10.0,89,89,11.24%,1,997,0,4,4,0.00%,40,0.00%,40,0,0,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,功能饮料饮品,,,2021-05-31,14:49:53,5天5时16分56秒,一,http://item.taobao.com/item.htm?id=644959477053,https://kandianbao.com/item/644959477053/, 
9,https://img.alicdn.com/imgextra/i4/2081502851/O1CN01DkiLIq1WvnrcuuLhW_!!0-item_pic.jpg,【预售】豆本豆黑豆奶250ml*20盒装整箱装官方早餐奶植物蛋白饮品,	644962449546,,10.0,10.0,139,139,7.19%,1,128,0,4,1,0.00%,40,0.00%,10,0,0,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,植物蛋白饮料/植物奶/植物酸奶,,,2021-05-31,16:30:25,5天6时57分28秒,一,http://item.taobao.com/item.htm?id=644962449546,https://kandianbao.com/item/644962449546/, 
10,https://img.alicdn.com/imgextra/i4/2081502851/O1CN014xbDOt1WvnrdnJ34K_!!0-item_pic.jpg,和其正凉茶250ml*3盒装利乐包茶饮料官方清火草本植物饮料散装,	642703670774,,8.9,8.9,39.9,39.9,22.31%,0,90,0,6,8,0.00%,53.400000000000006,0.00%,71.2,0,0,0,,,优惠促销,7天无理由|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,凉茶,,,2021-05-28,11:17:40,2天1时44分43秒,五,http://item.taobao.com/item.htm?id=642703670774,https://kandianbao.com/item/642703670774/, 
