数据下载时间：2021-05-26 12:48:45 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/迎香月旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i3/2206381007013/O1CN01kLyQUT21g0HdM7OCS_!!2206381007013.jpg,爆浆小软独立包日式雪媚娘夹心软面包网红休闲零食学生营养早餐,	642789482402,,8.8,29.9,29.9,59.9,49.92%,3,2086,0,5,500,0.52%,86.20000000000002,0.71%,8620.000000000002,10,98,0,,,每日必买,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,糕点/点心,传统糕点,,,2021-05-29,10:39:44,2天21时51分2秒,六,http://item.taobao.com/item.htm?id=642789482402,https://kandianbao.com/item/642789482402/, 
2,https://img.alicdn.com/imgextra/i3/2206381007013/O1CN01XSAA7d21g0HqAN7TW_!!2206381007013.jpg,拉面丸子干吃面方便面口水小零食80后网红食品独立包小吃虾仔面,	642905243065,,8.9,8.9,29.9,29.9,29.77%,2,2564,0,12,433,1.24%,106.80000000000001,0.88%,3853.7000000000003,4,65,0,,,每日必买,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,糕点/点心,传统糕点,,,2021-05-29,10:39:21,2天21时50分39秒,六,http://item.taobao.com/item.htm?id=642905243065,https://kandianbao.com/item/642905243065/, 
3,https://img.alicdn.com/imgextra/i2/2206381007013/O1CN01BG8WxX21g0HZuyySV_!!2206381007013.jpg,桃酥饼干核桃酥早餐休闲食品零食老式酥饼点心糕点整箱,	642585349548,,7.52,29.9,29.9,59.9,49.92%,3,2300,0,75,866,7.77%,1235.4,10.15%,14264.752,12,170,0,,,每日必买,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,糕点/点心,传统糕点,,,2021-05-29,10:40:45,2天21时52分3秒,六,http://item.taobao.com/item.htm?id=642585349548,https://kandianbao.com/item/642585349548/,很好吃(6);包装很完美(2)
4,https://img.alicdn.com/imgextra/i3/2206381007013/O1CN01MuKPYe21g0HdVwpqe_!!2206381007013.jpg,【热销老婆饼】东北小酥饼单独包装酥脆白糖福饼传统糕点整箱推荐,	643354139269,,7.52,29.9,29.9,59.9,49.92%,4,2262,0,112,906,11.61%,1844.864,15.15%,14923.632000000001,26,207,0,,,每日必买,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,糕点/点心,传统糕点,,,2021-05-29,10:40:45,2天21时52分3秒,六,http://item.taobao.com/item.htm?id=643354139269,https://kandianbao.com/item/643354139269/,很好吃(14);很酥脆(2);包装完好(6);发货速度很快(5);价格很实惠(4)
5,https://img.alicdn.com/imgextra/i4/2206381007013/O1CN01P2BRuB21g0HdUYZVT_!!2206381007013.jpg,绿豆饼板栗饼红豆饼爆款网红零食独立包休闲食品整箱批发价,	643115627328,,8.9,15.9,29.9,29.9,53.18%,3,1270,0,761,1268,78.86%,8903.7,73.12%,14835.600000000002,106,221,0,,,每日必买,7天无理由|蚂蚁花呗|信用卡支付|集分宝,零食/坚果/特产,糕点/点心,传统糕点,,,2021-05-27,10:59:17,22时10分35秒,四,http://item.taobao.com/item.htm?id=643115627328,https://kandianbao.com/item/643115627328/,超实惠(7);发货速度很快(2);还挺好吃(7);不好吃(3)
,,,,,,,,,,,,,30天销量总计,,,30天销售额总计,,,收藏数总计,,分享量总计,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,965,,,12176.964,,,158,,0,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
数据下载时间：2021-05-26 12:48:45 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/迎香月旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
