数据下载时间：2021-05-25 14:47:05 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/邹有才旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i3/2200608599252/O1CN0165hcJG2IDT4vtHdhJ_!!2200608599252.jpg,东北五常宝宝有机胚芽米500g*5袋婴幼儿婴儿五谷杂粮可搭配辅食,	629065703739,,39.9,39.9,100,100,39.90%,0,9990,0,0,5,0,0,0,199.5,8,0,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,米/面粉/杂粮,大米,,,2021-05-29,22:00:00,4天7时13分2秒,六,http://item.taobao.com/item.htm?id=629065703739,https://kandianbao.com/item/629065703739/, 
2,https://img.alicdn.com/imgextra/i2/2200608599252/O1CN01iqacIu2IDT54eDMtF_!!2200608599252-0-lubanu-s.jpg,青海红藜麦米5斤 红藜麦高品质营养谷物非五谷杂粮一级即食代餐粥,	644341412155,232333,69.9,69.9,200,200,34.95%,0,99999,0,0,0,0,0,0,0,0,0,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,米/面粉/杂粮,其它粮食,,,2021-06-01,12:56:16,6天22时9分18秒,二,http://item.taobao.com/item.htm?id=644341412155,https://kandianbao.com/item/644341412155/, 
3,https://img.alicdn.com/imgextra/i3/2200608599252/O1CN01M2X74j2IDT5AKuTil_!!2200608599252-0-lubanu-s.jpg,新货以黑养黑黑色藜麦米5斤 青海黑藜麦五谷杂粮孕妇宝宝,	645431059589,232211,89.9,89.9,200,200,44.95%,0,99999,0,0,0,0,0,0,0,0,0,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,米/面粉/杂粮,其它粮食,,,2021-06-01,12:58:10,6天22时11分12秒,二,http://item.taobao.com/item.htm?id=645431059589,https://kandianbao.com/item/645431059589/, 
4,https://img.alicdn.com/imgextra/i3/2200608599252/O1CN011BGeY92IDT5AFHqcL_!!2200608599252.jpg,黑芝麻桑葚黑豆核桃粉现磨纯粉小袋装营养早餐非养发生发黑芝麻糊,	644679161583,,39.9,39.9,120,120,33.25%,0,9998,0,1,1,0.00%,39.9,0.00%,39.9,0,0,0,,,预售价,7天无理由|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,食补粉粉,天然粉粉食品,,,2021-05-29,22:00:00,4天7时13分2秒,六,http://item.taobao.com/item.htm?id=644679161583,https://kandianbao.com/item/644679161583/, 
5,https://img.alicdn.com/imgextra/i4/2200608599252/O1CN01bO0wiE2IDT0MPOBu0_!!0-item_pic.jpg,买2送1同款 邹有才蒲公英茶包 野生婆婆丁茶叶 白鼓丁茶包,	600819126636,,18.8,18.8,39,39,48.21%,0,351,0,4,145,0.00%,75.2,0.00%,2726,38,13,0,,,专属优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,传统滋补营养品,养生茶,养生茶,,,2021-05-25,16:04:23,1时17分25秒,二,http://item.taobao.com/item.htm?id=600819126636,https://kandianbao.com/item/600819126636/, 
6,https://img.alicdn.com/imgextra/i1/2200608599252/O1CN01byXK0M2IDT3cmG6VV_!!2200608599252.jpg,东北山珍干货礼盒精美包装元磨小礼盒送长辈专用大礼包,	631085426046,,29.9,29.9,59.9,59.9,49.92%,0,99946,0,5,50,0.00%,149.5,0.00%,1495,12,10,0,,,新品抢购,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,南北干货/肉类干货,香菇类,,,2021-05-31,09:53:24,5天19时6分26秒,一,http://item.taobao.com/item.htm?id=631085426046,https://kandianbao.com/item/631085426046/, 
7,https://img.alicdn.com/imgextra/i2/2200608599252/O1CN01t4KqIC2IDT3txRxGs_!!2200608599252.jpg,邹有才野生羊肚菌干货特产蘑菇云南新鲜250g 营养新鲜菌菇,	638679889472,,299,299,500,500,59.80%,0,99957,0,5,40,0.00%,1495,0.02%,11960,30,6,0,,,新品抢购,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,南北干货/肉类干货,香菇类,,,2021-05-31,17:56:46,6天3时9分48秒,一,http://item.taobao.com/item.htm?id=638679889472,https://kandianbao.com/item/638679889472/, 
8,https://img.alicdn.com/imgextra/i4/2200608599252/O1CN01AqxVhr2IDT3poBvQL_!!0-item_pic.jpg,（买二送一）邹有才三清茶养生茶 40小包（荷叶橘皮大麦薄荷叶）,	588022596756,,19.8,19.8,39.9,39.9,49.62%,0,246,0,7,469,0.00%,138.6,0.00%,9286.2,168,55,0,,,专属优惠,7天无理由|蚂蚁花呗|信用卡支付|集分宝,传统滋补营养品,养生茶,养生茶,,,2021-05-25,14:10:54,36分57秒,二,http://item.taobao.com/item.htm?id=588022596756,https://kandianbao.com/item/588022596756/, 
9,https://img.alicdn.com/imgextra/i1/2200608599252/O1CN01TnVyRm2IDT4C7wVMq_!!2200608599252.jpg,东北黑山小碗耳黑龙江特产干货秋木耳无根肉厚野生老鼠耳400g礼盒,	636112967683,,96,96,200,200,48.00%,0,9874,0,7,118,0.00%,672,0.01%,11328,52,25,0,,,新品抢购,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,南北干货/肉类干货,黑木耳,,,2021-05-30,18:54:50,5天4时7分52秒,日,http://item.taobao.com/item.htm?id=636112967683,https://kandianbao.com/item/636112967683/,有嚼头(2);口感味道好(7);脆的(2);真的很好看(2);会回购(2);挺小(3)
10,https://img.alicdn.com/imgextra/i3/2200608599252/O1CN01eDsibs2IDT3oOjPNm_!!2200608599252.jpg,东北特产山珍干货礼盒组合大礼包香菇小包装过节送长辈黑龙江菌菇,	630435812536,,29.9,29.9,59.9,59.9,49.92%,0,99542,0,9,441,0.00%,269.09999999999997,0.00%,13185.9,92,21,0,,,新品抢购,7天无理由|蚂蚁花呗|信用卡支付|集分宝,粮油调味/速食/干货/烘焙,南北干货/肉类干货,香菇类,,,2021-05-31,09:53:25,5天19时6分27秒,一,http://item.taobao.com/item.htm?id=630435812536,https://kandianbao.com/item/630435812536/, 
