数据下载时间：2021-05-27 10:03:13 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/麦朵粒旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i2/3247364116/O1CN010uqUjR1gHAklc34Ew_!!0-item_pic.jpg,红豆薏米粉薏仁粉熟五谷杂粮即食营养非去除濕气早餐食品代餐粉粥,	599142958419,,39.9,39.9,78,78,51.15%,0,9070,0,48,877,0.04%,1915.1999999999998,0.07%,34992.299999999996,666,245,0,,,优惠多多|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,食补粉粉,天然粉粉食品,,,2021-05-29,15:20:36,2天5时17分26秒,六,http://item.taobao.com/item.htm?id=599142958419,https://kandianbao.com/item/599142958419/,售后没有人理(2)
2,https://img.alicdn.com/imgextra/i4/3247364116/O1CN01cXof371gHAnUYBDkY_!!0-item_pic.jpg,烘焙水果燕麦片混合装即食宿舍早餐饱腹营养养胃食品谷物坚果麦片,	614335785249,,29.6,29.6,75,75,39.47%,3,27014,0,199,2851,0.18%,5890.400000000001,0.22%,84389.6,1460,723,0,,,优惠多多|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-05-27,23:33:42,13时30分32秒,四,http://item.taobao.com/item.htm?id=614335785249,https://kandianbao.com/item/614335785249/,孩子很吃(4);干吃好吃(2);样子很全(2);质量好(2);很好吃(25);美味一般(3)
3,https://img.alicdn.com/imgextra/i1/3247364116/O1CN015M1CCr1gHAsIiLgmT_!!0-item_pic.jpg,坚果水果藕粉杭州西湖手工特产营养代早餐桂花冲饮正宗纯藕粉莲羹,	640211232599,,14.9,14.9,69,69,21.59%,1,19070,0,380,889,0.34%,5662,0.22%,13246.1,454,193,0,,,新品尝鲜|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,藕粉,,,2021-05-29,22:36:36,2天12时33分26秒,六,http://item.taobao.com/item.htm?id=640211232599,https://kandianbao.com/item/640211232599/,口感味道好(27);不会很甜(4);小孩吃的惯(3);有饱腹感(2);物流挺快(5);跟图片差太多(2)
4,https://img.alicdn.com/imgextra/i1/3247364116/O1CN01H9qR5b1gHAle5eWDG_!!0-item_pic.jpg,水果燕麦片1kg 冲饮混合坚果燕麦片即食早餐无糖精无脱脂健身食品,	603682936029,,23.8,23.8,68,68,35.00%,3,19062,0,595,10292,0.53%,14161,0.54%,244949.6,4072,2855,0,,,优惠多多|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-06-01,20:45:52,5天10时42分42秒,二,http://item.taobao.com/item.htm?id=603682936029,https://kandianbao.com/item/603682936029/,家人说不错(2);冲泡方便(3);质量好(5);很好吃(54);饱腹感很强(3);不要买(2)
5,https://img.alicdn.com/imgextra/i1/3247364116/O1CN01khqh861gHAp6iRHng_!!0-item_pic.jpg,黑芝麻核桃黑豆粉现磨熟黑芝麻糊桑葚黑米即食五谷杂粮三黑营养粥,	626252098302,,14.8,26.8,99.9,99.9,26.83%,2,13827,0,642,5959,0.57%,12583.2,0.48%,116796.40000000001,3184,1609,0,,,新品尝鲜|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,食补粉粉,天然粉粉食品,,,2021-05-28,19:49:41,1天9时46分31秒,五,http://item.taobao.com/item.htm?id=626252098302,https://kandianbao.com/item/626252098302/,外观可(8);有甜味(24);天然材料(2);份量很足(2);质量好(10);超级慢快递(2)
6,https://img.alicdn.com/imgextra/i4/3247364116/O1CN013Yigpx1gHAnxLIYUf_!!0-item_pic.jpg,黑麦片白麦片组合装高纤维即食营养代早餐无糖精无脱脂全麦燕麦片,	617618966587,,29.9,29.9,78,78,38.33%,1,20090,0,1384,9562,1.23%,41381.6,1.57%,285903.8,2722,2282,0,,,新品尝鲜|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-05-29,22:28:06,2天12时24分56秒,六,http://item.taobao.com/item.htm?id=617618966587,https://kandianbao.com/item/617618966587/,软的(4);颗粒挺大(2);更适合减肥(4);口感非常好(69);份量很足(10);不干净(2)
7,https://img.alicdn.com/imgextra/i4/3247364116/O1CN01CCzYdD1gHAosALMii_!!0-item_pic.jpg,奇亚籽酸奶果粒麦片早餐即食冲饮混合干吃水果坚果燕麦片谷物食品,	605927068251,,12.9,34.9,79,99,35.25%,6,129344,0,5556,407999,4.95%,120565.20000000001,4.58%,8853578.3,165626,118427,0,,,淘宝吃货|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-05-31,13:28:04,4天3时24分54秒,一,http://item.taobao.com/item.htm?id=605927068251,https://kandianbao.com/item/605927068251/,果粒非常多(98);适合减肥(37);酸酸的(3);上档次(4);效果好(3);减肥不建议吃(4)
8,https://img.alicdn.com/imgextra/i4/3247364116/O1CN01EKlAZN1gHAnqoiSKr_!!0-item_pic.jpg,黑麦片高纤低脂燕麦片冲饮即食全麦无糖精无脱脂早餐速食懒人食品,	604620544456,,16.9,27.9,49,78,35.77%,3,56171,0,18203,119437,16.22%,387723.89999999997,14.73%,2544008.0999999996,47428,29942,0,,,每日必买|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-05-30,17:23:28,3天7时20分18秒,日,http://item.taobao.com/item.htm?id=604620544456,https://kandianbao.com/item/604620544456/,比较硬(25);方便加热即食(2);罐装密封好(8);热量低(15);没破损(8);品质极差(4)
9,https://img.alicdn.com/imgextra/i4/3247364116/O1CN01PoNrTL1gHAqTfR5ha_!!0-item_pic.jpg,燕麦片5斤2罐即食无糖精麦片早餐冲饮未脱脂纯麦片健身代餐速食品,	597109007243,,23.4,24.8,59,59,42.03%,9,134297,0,85242,982539,75.94%,2042398.32,77.59%,23541634.44,212252,261529,0,,,每日必买|淘金币抵3%,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,藕粉/麦片/冲饮品,冲饮谷物/麦片,,,2021-05-31,21:16:37,4天11时13分27秒,一,http://item.taobao.com/item.htm?id=597109007243,https://kandianbao.com/item/597109007243/,封口可以密封(26);有好多壳(16);淀粉挺足(2);孕妇可以吃(3);不会粘牙(3);非环保材质(2)
,,,,,,,,,,,,,30天销量总计,,,30天销售额总计,,,收藏数总计,,分享量总计,,,,,,,,,,,,,,,,
